No,timestamp,AQI,DEWP,TEMP,TEMP_F,PRES,sensor_voltage,cbwd,Iws,Is,Ir
1,2022/Jan/01 00:00,,-21,-11.0,12.2,1021.0,24.96714153011233,NorthWest,1.79,0,0
2,2022/Jan/01 01:00,,-21,-12.0,10.4,1020.0,18.617356988288154,NW,4.92,0,0
3,2022/Jan/01 02:00,,-21,-11.0,12.2,1019.0,26.476885381006923,NorthWest,6.71,0,0
4,2022/Jan/01 03:00,,-21,-14.0,6.800000000000001,1019.0,35.23029856408026,N_W,9.84,0,0
5,2022/Jan/01 04:00,,-20,-12.0,10.4,1018.0,17.65846625276664,N-W,12.97,0,0
6,2022/Jan/01 05:00,,-19,-10.0,14.0,1017.0,17.658630430508193,N_W,16.1,0,0
7,2022/Jan/01 06:00,,-19,-9.0,15.8,1017.0,35.79212815507391,N_W,19.23,0,0
8,2022/Jan/01 07:00,,-19,-9.0,15.8,1017.0,27.674347291529088,NorthWest,21.02,0,0
9,2022/Jan/01 08:00,,-19,-9.0,15.8,1017.0,15.305256140650478,N_W,24.15,0,0
10,2022/Jan/01 09:00,,-20,-8.0,17.6,1017.0,25.425600435859646,N-W,27.28,0,0
11,2022/Jan/01 10:00,,-19,-7.0,19.4,1017.0,15.365823071875376,N-W,31.3,0,0
12,2022/Jan/01 11:00,,-18,-5.0,23.0,1017.0,15.342702464297432,NorthWest,34.43,0,0
13,2022/Jan/01 12:00,,-19,-5.0,23.0,1015.0,22.419622715660346,N_W,37.56,0,0
14,2022/Jan/01 13:00,,-18,-3.0,26.6,1015.0,0.8671975534220202,N-W,40.69,0,0
15,2022/Jan/01 14:00,,-18,-2.0,28.4,1014.0,2.750821674869673,NW,43.82,0,0
16,2022/Jan/01 15:00,,-18,-1.0,30.2,1014.0,14.377124707590273,cv,0.89,0,0
17,2022/Jan/01 16:00,,-19,-2.0,28.4,1015.0,9.871688796655762,NW,1.79,0,0
18,2022/Jan/01 17:00,,-18,-3.0,26.6,1015.0,23.14247332595274,NorthWest,2.68,0,0
19,2022/Jan/01 18:00,,-18,-5.0,23.0,1016.0,10.91975924478789,NorthEast,1.79,0,0
20,2022/Jan/01 19:00,,-17,-4.0,24.8,1017.0,5.876962986647085,N-W,1.79,0,0
21,2022/Jan/01 20:00,,-17,-5.0,23.0,1017.0,34.65648768921554,CV,0.89,0,0
22,2022/Jan/01 21:00,,-17,-5.0,23.0,1018.0,17.742236995134643,nw,1.79,0,0
23,2022/Jan/01 22:00,,-17,-5.0,23.0,1018.0,20.67528204687924,NW,2.68,0,0
24,2022/Jan/01 23:00,,-17,-5.0,23.0,1020.0,5.752518137865433,calm,0.89,0,0
25,2022/Jan/02 00:00,129.0,-16,-4.0,24.8,1020.0,18.26123455094963,S-E,1.79,0,0
26,2022/Jan/02 01:00,148.0,-15,-4.0,24.8,1020.0,22.42184517941973,S-E,2.68,0,0
27,2022/Jan/02 02:00,159.0,-11,-5.0,23.0,1021.0,21.54801284515539,S_E,3.57,0,0
28,2022/Jan/02 03:00,181.0,-7,-5.0,23.0,1022.0,27.90139603669134,SouthEast,5.36,1,0
29,2022/Jan/02 04:00,138.0,-7,-5.0,23.0,1022.0,19.49872262016239,se,6.25,2,0
30,2022/Jan/02 05:00,109.0,-7,-6.0,21.2,1022.0,15.766612500413444,SouthEast,7.14,3,0
31,2022/Jan/02 06:00,105.0,-7,-6.0,21.2,1023.0,14.546586775541206,se,8.93,4,0
32,2022/Jan/02 07:00,124.0,-7,-5.0,23.0,1024.0,22.304556369017877,SouthEast,10.72,0,0
33,2022/Jan/02 08:00,120.0,-8,-6.0,21.2,1024.0,17.97300555052413,SE,12.51,0,0
34,2022/Jan/02 09:00,132.0,-7,-5.0,23.0,1025.0,17.6845781420882,SE,14.3,0,0
35,2022/Jan/02 10:00,140.0,-7,-5.0,23.0,1026.0,22.645089824206377,S_E,17.43,1,0
36,2022/Jan/02 11:00,152.0,-8,-5.0,23.0,1026.0,20.35831270005796,SouthEast,20.56,0,0
37,2022/Jan/02 12:00,148.0,-8,-5.0,23.0,1026.0,22.61772719000951,S_E,23.69,0,0
38,2022/Jan/02 13:00,164.0,-8,-5.0,23.0,1025.0,20.680659752240448,SE,27.71,0,0
39,2022/Jan/02 14:00,158.0,-9,-5.0,23.0,1025.0,21.043627902203134,SouthEast,31.73,0,0
40,2022/Jan/02 15:00,154.0,-9,-5.0,23.0,1025.0,23.493722471738245,SouthEast,35.75,0,0
41,2022/Jan/02 16:00,159.0,-9,-5.0,23.0,1026.0,25.32693315999082,S_E,37.54,0,0
42,2022/Jan/02 17:00,164.0,-8,-5.0,23.0,1027.0,24.942736562379935,S_E,39.33,0,0
43,2022/Jan/02 18:00,170.0,-8,-5.0,23.0,1027.0,25.26870343522352,S_E,42.46,0,0
44,2022/Jan/02 19:00,149.0,-8,-5.0,23.0,1028.0,21.74779260882142,S-E,44.25,0,0
45,2022/Jan/02 20:00,154.0,-7,-5.0,23.0,1028.0,20.142956019265142,S-E,46.04,0,0
46,2022/Jan/02 21:00,164.0,-7,-5.0,23.0,1027.0,23.160311583210586,se,49.17,1,0
47,2022/Jan/02 22:00,156.0,-8,-6.0,21.2,1028.0,22.478722458080423,S-E,52.3,2,0
48,2022/Jan/02 23:00,126.0,-8,-6.0,21.2,1027.0,21.01424445243783,se,55.43,3,0
49,2022/Jan/03 00:00,90.0,-7,-6.0,21.2,1027.0,14.187236579136922,se,58.56,4,0
50,2022/Jan/03 01:00,63.0,-8,-6.0,21.2,1026.0,5.923919689274531,SouthEast,61.69,5,0
51,2022/Jan/03 02:00,65.0,-8,-7.0,19.4,1026.0,10.398167938789593,SE,65.71,6,0
52,2022/Jan/03 03:00,55.0,-8,-7.0,19.4,1025.0,7.479835439167367,S-E,68.84,7,0
53,2022/Jan/03 04:00,65.0,-8,-7.0,19.4,1024.0,8.396155999388082,S_E,72.86,8,0
