player_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
252371,J. Bellingham,Jude Victor William Bellingham,"CAM, CM",90,94,174500000,320000,22,6/29/2003,186,75,53.0,La Liga,243.0,Real Madrid,CAM,5.0,,7/1/2023,2029.0,14,England,CAM,10.0,Right,4,4,5,Normal (170-185),370800000.0,"#Dribbler, #Playmaker , #Clinical finisher, #Complete midfielder, #Complete forward","Relentless +, Low Driven Shot, Gamechanger, Inventive, Slide Tackle, Technical, First Touch",80.0,86.0,83.0,90.0,78.0,85.0,66,88,75,90,77,91,73,68,89,91,81,80,83,91,83,86,85,94,80,87,85,82,91,90,74,90,77,79,77,14,11,10,5,8,,86+3,86+3,86+3,87+0,89+0,89+0,89+0,87+0,89+3,89+3,89+3,87+3,89+3,89+3,89+3,87+3,83+3,85+3,85+3,85+3,83+3,82+3,81+3,81+3,81+3,82+3,18+3
239053,F. Valverde,Federico Santiago Valverde Dipetta,"CM, CDM, RB",89,90,120500000,340000,26,7/22/1998,182,74,53.0,La Liga,243.0,Real Madrid,RDM,8.0,,7/22/2016,2029.0,60,Uruguay,,,Right,4,3,4,Unique,256100000.0,"#Playmaker , #Distance shooter, #Tackling , #Tactician , #Complete midfielder","Relentless +, Power Shot, Long Ball Pass, Intercept, Slide Tackle, Aerial Fortress, Rapid",88.0,84.0,84.0,84.0,83.0,85.0,78,80,63,88,78,84,76,69,88,88,84,92,77,89,68,91,82,93,82,91,81,86,86,86,59,84,82,87,86,6,10,6,15,8,,84+3,84+3,84+3,85+0,86+0,86+0,86+0,85+0,86+3,86+3,86+3,86+3,88+2,88+2,88+2,86+3,86+3,87+3,87+3,87+3,86+3,86+3,83+3,83+3,83+3,86+3,18+3
212622,J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",89,89,86000000,140000,30,2/8/1995,177,75,19.0,Bundesliga,21.0,FC Bayern München,RDM,6.0,,7/1/2015,2029.0,21,Germany,RCM,6.0,Right,4,3,4,Normal (170-185),141900000.0,"#Playmaker , #Crosser, #Tackling , #Complete midfielder","Long Ball Pass +, Finesse Shot, Whipped Pass, Anticipate, Press Proven, Relentless",72.0,74.0,89.0,84.0,83.0,79.0,92,68,72,89,69,82,85,79,92,86,75,70,83,89,84,78,77,92,69,83,89,85,78,86,71,86,82,86,85,8,15,7,15,15,,77+3,77+3,77+3,82+0,81+0,81+0,81+0,82+0,83+3,83+3,83+3,84+3,87+2,87+2,87+2,84+3,86+3,87+2,87+2,87+2,86+3,85+3,82+3,82+3,82+3,85+3,21+3
235212,A. Hakimi,Achraf Hakimi,"RB, RM",89,90,111000000,170000,26,11/4/1998,181,73,16.0,Ligue 1,73.0,Paris Saint-Germain,RB,2.0,,7/6/2021,2029.0,129,Morocco,RB,2.0,Right,4,4,4,Lean (170-185),213700000.0,#Speedster,"Relentless +, Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step",92.0,79.0,82.0,83.0,82.0,79.0,85,80,71,86,74,82,78,80,73,85,89,95,81,90,78,82,84,95,72,77,77,85,84,78,68,84,82,85,79,10,8,14,6,8,,82+3,82+3,82+3,84+0,84+0,84+0,84+0,84+0,83+3,83+3,83+3,85+3,83+3,83+3,83+3,85+3,86+3,83+3,83+3,83+3,86+3,86+3,81+3,81+3,81+3,86+3,17+3
224232,N. Barella,Nicolò Barella,CM,87,87,79500000,69000,28,2/7/1997,175,68,31.0,Serie A,44.0,Inter,RCM,23.0,,9/1/2020,2029.0,27,Italy,RCM,18.0,Right,4,3,4,Normal (170-),131199999.0,#Acrobat,"Relentless +, Incisive Pass, Pinged Pass, Long Ball Pass, Jockey, Intercept, Press Proven",80.0,78.0,84.0,86.0,81.0,76.0,79,77,60,89,80,84,79,67,87,87,82,78,91,91,88,80,75,89,66,79,87,85,84,85,73,88,80,85,80,11,5,13,14,11,,80+3,80+3,80+3,84+0,84+0,84+0,84+0,84+0,85+2,85+2,85+2,84+3,86+1,86+1,86+1,84+3,84+3,85+2,85+2,85+2,84+3,83+3,80+3,80+3,80+3,83+3,19+3
208128,H. Çalhanoğlu,Hakan Çalhanoğlu,"CDM, CM",86,86,47500000,61000,31,2/8/1994,178,69,31.0,Serie A,44.0,Inter,CDM,20.0,,7/1/2024,2027.0,48,Turkey,,,Right,5,4,4,Normal (170-185),78400000.0,"#Playmaker , #Distance shooter, #Complete midfielder","Incisive Pass +, Dead Ball, Long Ball Pass, Inventive, Technical, First Touch, Relentless",71.0,81.0,87.0,82.0,81.0,73.0,78,75,65,90,78,78,88,85,89,87,74,68,83,87,77,87,73,81,65,87,83,82,73,89,92,85,81,85,80,9,14,11,6,10,,78+3,78+3,78+3,81+0,81+0,81+0,81+0,81+0,83+3,83+3,83+3,81+3,86+0,86+0,86+0,81+3,82+3,84+2,84+2,84+2,82+3,81+3,79+3,79+3,79+3,81+3,18+3
226268,F. Dimarco,Federico Dimarco,"LB, LM",85,85,52000000,54000,27,11/10/1997,175,76,31.0,Serie A,44.0,Inter,LB,32.0,,7/5/2018,2027.0,27,Italy,LB,3.0,Left,4,3,3,Normal (170-185),85800000.0,#Crosser,"Finesse Shot, Power Shot, Dead Ball, Low Driven Shot, Whipped Pass, First Touch",80.0,78.0,84.0,82.0,79.0,77.0,87,74,69,84,82,79,88,83,83,86,83,78,84,83,81,81,81,84,72,84,81,80,83,80,71,78,81,81,79,9,8,12,7,7,,79+3,79+3,79+3,82+0,81+0,81+0,81+0,82+0,82+3,82+3,82+3,82+3,83+2,83+2,83+2,82+3,82+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,16+3
239837,A. Mac Allister,Alexis Mac Allister,"CM, CDM",87,88,93000000,180000,26,12/24/1998,176,72,13.0,Premier League,9.0,Liverpool,LDM,10.0,,6/14/2023,2028.0,52,Argentina,LCM,20.0,Right,3,3,4,Normal (170-185),179000000.0,#Playmaker ,"Pinged Pass +, Power Shot, Dead Ball, Gamechanger, Block, Press Proven",66.0,82.0,85.0,85.0,78.0,76.0,79,79,65,88,77,84,83,82,87,86,68,64,82,89,86,88,72,87,69,85,83,80,78,86,86,86,78,83,74,7,10,14,15,10,,79+3,79+3,79+3,81+0,82+0,82+0,82+0,81+0,84+3,84+3,84+3,82+3,86+2,86+2,86+2,82+3,81+3,83+3,83+3,83+3,81+3,79+3,78+3,78+3,78+3,79+3,19+3
231866,Rodri,Rodri,"CDM, CM",90,90,102000000,270000,29,6/22/1996,190,82,13.0,Premier League,10.0,Manchester City,CDM,16.0,,7/4/2019,2027.0,45,Spain,SUB,16.0,Right,4,3,5,Normal (185+),188700000.0,#Distance shooter,"Tiki Taka +, Power Shot, Long Ball Pass, Aerial Fortress, Press Proven, Bruiser",65.0,80.0,86.0,84.0,86.0,85.0,76,74,81,93,71,84,86,64,91,90,65,65,66,93,67,92,83,91,83,89,85,84,76,84,62,93,88,87,82,10,10,7,14,8,,82+3,82+3,82+3,81+0,83+0,83+0,83+0,81+0,84+3,84+3,84+3,83+3,88+2,88+2,88+2,83+3,84+3,88+2,88+2,88+2,84+3,84+3,85+3,85+3,85+3,84+3,19+3
194765,A. Griezmann,Antoine Griezmann,"ST, LM, CAM",85,85,26000000,115000,34,3/21/1991,176,67,53.0,La Liga,240.0,Atlético Madrid,SUB,7.0,,10/10/2022,2027.0,18,France,,,Left,3,4,4,Unique,54600000.0,"#Dribbler, #Playmaker , #Acrobat, #Clinical finisher, #Complete midfielder, #Complete forward","Chip Shot +, Finesse Shot, Gamechanger, Incisive Pass, Long Ball Pass, Inventive, Technical",77.0,86.0,85.0,88.0,59.0,73.0,82,86,79,86,86,86,89,85,83,90,80,75,88,87,85,85,84,77,70,86,74,59,87,86,79,88,45,63,64,14,8,14,13,14,,84+1,84+1,84+1,85+0,86+-1,86+-1,86+-1,85+0,86+-1,86+-1,86+-1,85+0,83+2,83+2,83+2,85+0,74+3,73+3,73+3,73+3,74+3,72+3,67+3,67+3,67+3,72+3,21+3
