team_name,max_win_streak_vs_top10,streak_start_date,streak_end_date,total_goals_scored_in_streak
Argentina,5,1916-08-15,1917-08-15,9.0
Uruguay,4,1911-10-29,1912-09-22,9.0
Brazil,3,2002-06-21,2002-06-30,5.0
England,3,1966-07-23,1966-07-30,7.0
France,3,2006-06-27,2006-07-05,5.0
Germany,3,2014-07-04,2014-07-13,9.0
Greece,3,2004-06-25,2004-07-04,3.0
Hungary,3,1954-06-20,1954-06-30,16.0
Netherlands,3,1908-10-23,1912-06-30,9.0
Spain,3,2024-07-05,2024-07-14,6.0
Belgium,2,1920-08-29,1920-08-31,6.0
Bolivia,2,1963-03-28,1963-03-31,8.0
Chile,2,2016-06-18,2016-06-22,9.0
Czech Republic,2,2004-06-19,2004-06-23,5.0
Czechoslovakia,2,1960-07-09,1961-05-14,6.0
Denmark,2,2011-10-11,2012-06-09,3.0
Italy,2,1934-06-01,1934-06-03,2.0
Paraguay,2,1953-03-27,1953-04-01,5.0
Portugal,2,1985-10-16,1986-06-03,2.0
Scotland,2,1971-10-13,1971-11-10,3.0
Switzerland,2,1961-10-29,1961-11-12,5.0
Wales,2,1924-02-16,1924-03-03,4.0
Albania,1,2014-09-07,2014-09-07,1.0
Algeria,1,1982-06-16,1982-06-16,2.0
Australia,1,2001-06-01,2001-06-01,1.0
Austria,1,1912-06-29,1912-06-29,5.0
Belarus,1,1995-06-07,1995-06-07,1.0
Bulgaria,1,1967-11-26,1967-11-26,1.0
Cameroon,1,1990-06-08,1990-06-08,1.0
Canada,1,1990-05-13,1990-05-13,2.0
China,1,1984-01-20,1984-01-20,1.0
Colombia,1,1957-03-17,1957-03-17,1.0
Costa Rica,1,1960-03-10,1960-03-10,3.0
Croatia,1,1998-07-04,1998-07-04,3.0
Cyprus,1,1998-09-05,1998-09-05,3.0
Ecuador,1,1989-07-02,1989-07-02,1.0
El Salvador,1,1993-04-04,1993-04-04,2.0
Finland,1,1964-08-02,1964-08-02,1.0
Georgia,1,2011-03-26,2011-03-26,1.0
German DR,1,1974-06-22,1974-06-22,1.0
Ghana,1,2006-06-17,2006-06-17,2.0
Guatemala,1,1967-03-10,1967-03-10,1.0
Honduras,1,2007-06-10,2007-06-10,2.0
Iceland,1,2014-10-13,2014-10-13,2.0
Israel,1,1993-10-13,1993-10-13,3.0
Ivory Coast,1,2026-06-14,2026-06-14,1.0
Japan,1,1997-06-08,1997-06-08,4.0
Luxembourg,1,1995-06-07,1995-06-07,1.0
Mexico,1,1996-01-21,1996-01-21,2.0
Morocco,1,2022-11-27,2022-11-27,2.0
Nigeria,1,1998-06-13,1998-06-13,3.0
North Macedonia,1,2007-11-17,2007-11-17,2.0
Northern Ireland,1,1903-03-21,1903-03-21,2.0
Norway,1,1929-09-29,1929-09-29,2.0
Peru,1,1939-02-12,1939-02-12,2.0
Poland,1,1965-10-13,1965-10-13,2.0
Republic of Ireland,1,1965-05-05,1965-05-05,1.0
Romania,1,1962-11-25,1962-11-25,3.0
Russia,1,1958-06-11,1958-06-11,2.0
Saudi Arabia,1,2022-11-22,2022-11-22,2.0
Senegal,1,2002-05-31,2002-05-31,1.0
Serbia,1,1996-11-10,1996-11-10,1.0
Slovakia,1,1997-08-24,1997-08-24,2.0
South Korea,1,1995-01-31,1995-01-31,1.0
Sweden,1,1924-06-09,1924-06-09,3.0
Tunisia,1,2022-11-30,2022-11-30,1.0
Turkey,1,1954-03-14,1954-03-14,1.0
Ukraine,1,1995-06-11,1995-06-11,1.0
United States,1,1950-06-29,1950-06-29,1.0
Venezuela,1,2011-10-11,2011-10-11,1.0
Yugoslavia,1,1930-07-14,1930-07-14,2.0
