scorer_short_name,nationality_name,total_game_changing_goals,avg_elo_improvement,fc26_overall_rating
A'ala Hubail,,6,No Elo Data,
Aaron Boupendza,,1,No Elo Data,
Aaron Hughes,,1,No Elo Data,
Aaron Long,,1,No Elo Data,
Aaron Ramsey,,11,No Elo Data,
Aarón Padilla Gutiérrez,,1,No Elo Data,
Aatef Jenyat,,1,No Elo Data,
Abat Aymbetov,,4,No Elo Data,
Abbas Ahmed Atwi,,1,No Elo Data,
Abbas Souan,,1,No Elo Data,
Abbosbek Fayzullaev,Uzbekistan,5,16.5,65.0
Abdah Alif,,1,No Elo Data,
Abdallah Azhar,,1,No Elo Data,
Abdallah Deeb,,2,No Elo Data,
Abdallah El Said,,2,No Elo Data,
Abdel Halim Ali,,2,No Elo Data,
Abdel Kafi El-Sheikh,,1,No Elo Data,
Abdel Rasoul Hesham,,2,No Elo Data,
Abdel Razak Al-Farjani,,1,No Elo Data,
Abdel Razak Jaranah,,1,No Elo Data,
Abdel-Hadi Al-Maharmeh,,1,No Elo Data,
Abdel-Zaher El-Saqqa,,1,No Elo Data,
Abdelaziz Barrada,,1,No Elo Data,
Abdelaziz Daidi,,1,No Elo Data,
Abdelfattah El Khattari,,1,No Elo Data,
Abdelfettah Rhiati,,1,No Elo Data,
Abdelhafid Tasfaout,,5,No Elo Data,
Abdelhakim Serrar,,1,No Elo Data,
Abdeljalil Hadda,,2,No Elo Data,
Abdelkader Ferhaoui,,1,No Elo Data,
Abdelkader Ghezzal,,1,No Elo Data,
Abdelmajid Bouyboud,,2,No Elo Data,
Abdelmajid Chetali,,2,No Elo Data,
Abdelmalek Cherrad,,1,No Elo Data,
Abdelmutaleb Nasir,,1,No Elo Data,
Abdelrazaq Al Hussain,,1,No Elo Data,
Abdelâali Zahraoui,,2,No Elo Data,
Abderrazak Hamdallah,Morocco,1,-13.0,79.0
Abderrazak Khairi,,1,No Elo Data,
Abdesalam Kames,,1,No Elo Data,
Abdeslam Laghrissi,,1,No Elo Data,
Abdesselem Cheman,,1,No Elo Data,
Abdi Idleh Hamza,,1,No Elo Data,
Abdoh Otaif,,2,No Elo Data,
Abdou Bin Amidou,,1,No Elo Data,
Abdou Diallo,,1,No Elo Data,
Abdou Jammeh,,1,No Elo Data,
Abdou Karim Sèye,,1,No Elo Data,
Abdou Traoré,,1,No Elo Data,
Abdou-Rahman Njie,,1,No Elo Data,
Abdoul Camara,,1,No Elo Data,
Abdoul Karim Traoré,Mali,2,No Elo Data,62.0
Abdoul Tapsoba,,2,No Elo Data,
Abdoulai Demba,,1,No Elo Data,
Abdoulay Diaby,,1,No Elo Data,
Abdoulaye Ba,Ivory Coast,1,13.0,70.0
Abdoulaye Cissé,,1,No Elo Data,
Abdoulaye Emmerson,,1,No Elo Data,
Abdoulaye Faye,Senegal,1,-110.0,68.0
Abdoulaye Makhtar Diop,,1,No Elo Data,
Abdoulaye Seck,,2,No Elo Data,
Abdoulaye Traoré,Ivory Coast,12,1.57,57.0
Abdukahhor Marifaliev,,1,No Elo Data,
Abdul Aziz Al-Muqbali,,2,No Elo Data,
Abdul Farooq,,1,No Elo Data,
Abdul Fatawu,Ghana,1,-119.0,76.0
Abdul Kader Kardaghli,,1,No Elo Data,
Abdul Kader Keïta,Ivory Coast,3,1.5,66.0
Abdul Latif Helou,,2,No Elo Data,
Abdul Majeed Waris,,1,No Elo Data,
Abdul Razaq Ibrahim,,1,No Elo Data,
Abdul Rwatubyaye,,1,No Elo Data,
Abdul Sesay,,1,No Elo Data,
Abdul-Aziz Hassan,,1,No Elo Data,
Abdul-Wahab Abu Al-Hail,,4,No Elo Data,
Abdulaziz Al-Anberi,,7,No Elo Data,
Abdulaziz Al-Hajeri,,1,No Elo Data,
Abdulaziz Hatem,Qatar,4,47.0,70.0
Abdulaziz Mohamed,,1,No Elo Data,
Abdulfattah Asiri,,1,No Elo Data,
Abdulfattah Shehab,,1,No Elo Data,
Abdulghani Tatiche,,1,No Elo Data,
Abdulla Al Marzooqi,,1,No Elo Data,
Abdulla Baba Fatadi,,2,No Elo Data,
Abdulla Idrees,,1,No Elo Data,
Abdulla Yusuf Helal,,1,No Elo Data,
Abdullah Al-Hashash,,1,No Elo Data,
Abdullah Bin Shehan,,3,No Elo Data,
Abdullah Fawaz,,3,No Elo Data,
Abdullah Ramadan,,1,No Elo Data,
Abdullah Wabran,,2,No Elo Data,
Abdulmunem Aleiyan,,1,No Elo Data,
Abdulrahman Al-Mushaifri,,2,No Elo Data,
Abdulrahman Fawzi,,1,No Elo Data,
Abdulrahman Ghareeb,,1,No Elo Data,
Abdulrahman Ibrahim,,1,No Elo Data,
Abdulrazaq Ibrahim Balooshi,,3,No Elo Data,
Abdulsalam Al Ghurbani,,2,No Elo Data,
Abdulwasea Al-Matari,,2,No Elo Data,
Abdy Bäşimow,,1,No Elo Data,
Abe Lenstra,,2,No Elo Data,
Abedi Bigirimana,,1,No Elo Data,
Abedi Pele,,6,No Elo Data,
Abel Aguilar,,3,No Elo Data,
Abel Balbo,,1,No Elo Data,
Abel Hernández,,2,No Elo Data,
Ablie Jallow,,3,No Elo Data,
Abou Diaby,,1,No Elo Data,
Abou Seydou,,1,No Elo Data,
Aboubakari Ouédraogo,,1,No Elo Data,
Aboubakary Koïta,,1,No Elo Data,
Abram Raselemane,,1,No Elo Data,
Absalom Iimbondi,,1,No Elo Data,
Abu Kanu,,1,No Elo Data,
Abu Obeida Adam,,1,No Elo Data,
Abubaker Bani,,1,No Elo Data,
Abubaker Ben Brahim,,1,No Elo Data,
Abubeker Nassir,,1,No Elo Data,
Achille Emaná,,2,No Elo Data,
Achraf Dari,,1,No Elo Data,
Achraf Hakimi,Morocco,4,55.67,89.0
Aco Stojkov,,3,No Elo Data,
Ad-Diba,,2,No Elo Data,
Adalberto Escobar,,1,No Elo Data,
Adalberto López,,1,No Elo Data,
Adam Buksa,Poland,1,No Elo Data,73.0
Adam Gnezda Čerin,Slovenia,3,No Elo Data,74.0
Adam Hložek,Czechia,1,No Elo Data,77.0
Adam Idah,,2,No Elo Data,
Adam Karabec,Czechia,1,No Elo Data,71.0
Adam Lallana,,1,No Elo Data,
Adam Ledwoń,,1,No Elo Data,
Adam Markhiyev,,1,No Elo Data,
Adam Marušić,Montenegro,2,No Elo Data,78.0
Adam Ndlovu,,3,No Elo Data,
Adam Nemec,,3,No Elo Data,
Adam Obert,Slovakia,1,No Elo Data,70.0
Adam Taggart,,2,No Elo Data,
Adam Zreľák,Slovakia,1,No Elo Data,63.0
Adama Coulibaly,New Zealand,1,-22.0,52.0
Adama Diomande,,1,No Elo Data,
Adama Guira,,1,No Elo Data,
Adama Sidibeh,,2,No Elo Data,
Adama Traoré,Spain,3,1.0,76.0
Adane Girma,,1,No Elo Data,
Adel Abbas Hussain,,1,No Elo Data,
Adel Abdulrahman Marzouq,,1,No Elo Data,
Adel Al-Salimi,,1,No Elo Data,
Adel Chedli,,1,No Elo Data,
Adel Khamis,,2,No Elo Data,
Adel Mohamed Abdulla,,1,No Elo Data,
Adel Mubarak Khamis,,1,No Elo Data,
Adel Sellimi,,4,No Elo Data,
Adel Taarabt,,1,No Elo Data,
Adelbert Toppenberg,,1,No Elo Data,
Adem Ljajić,,1,No Elo Data,
Ademir de Menezes,,8,No Elo Data,
Ademola Lookman,,4,No Elo Data,
Adhemar Canavesi,,1,No Elo Data,
Adi Said,,1,No Elo Data,
Adil Boulbina,,1,No Elo Data,
Adil Khan,,1,No Elo Data,
Adis Jahović,,1,No Elo Data,
Adisak Kraisorn,,1,No Elo Data,
Admir Mehmedi,,2,No Elo Data,
Admiral Muskwe,,1,No Elo Data,
Adnan Ahmed Al-Sabbou,,1,No Elo Data,
Adnan Al Talyani,,8,No Elo Data,
Adnan Januzaj,Belgium,1,108.0,74.0
Adnan Kovačević,,1,No Elo Data,
Adnan Ćustović,,1,No Elo Data,
Ado Onaiwu,Japan,1,16.0,72.0
Adokiye Amiesimaka,,1,No Elo Data,
Adolf Scherer,,4,No Elo Data,
Adolfino Cañete,,1,No Elo Data,
Adolfo Baloncieri,,2,No Elo Data,
Adolfo Bautista,,2,No Elo Data,
Adolfo Díaz Gáez,,1,No Elo Data,
Adolfo Erico,,1,No Elo Data,
Adolfo Magallanes,,1,No Elo Data,
Adolfo Olivares,,2,No Elo Data,
Adolfo Pedernera,,1,No Elo Data,
Adolfo Valencia,,1,No Elo Data,
Adoram Keisi,,1,No Elo Data,
Adrian Aliaj,,1,No Elo Data,
Adrian Alston,,2,No Elo Data,
Adrian Grbić,Austria,2,45.0,67.0
Adrian Ilie,,5,No Elo Data,
Adrian Knup,,5,No Elo Data,
Adrian Mierzejewski,,1,No Elo Data,
Adrian Mutu,,15,No Elo Data,
Adriano,Belgium,8,-27.75,75.0
Adriano Leite Ribeiro,,1,No Elo Data,
Adriano Samaniego,,1,No Elo Data,
Adrien Rabiot,France,2,-43.5,83.0
Adrien Silva,,1,No Elo Data,
Adrián Escudero,,1,No Elo Data,
Adrián Ramos,,2,No Elo Data,
Adrián Romero,,1,No Elo Data,
Ady Schmit,,2,No Elo Data,
Ady Williams,,1,No Elo Data,
Adékambi Olufadé,,1,No Elo Data,
Aeriel Kaore,,1,No Elo Data,
Afran Ismayilov,,2,No Elo Data,
Agent Sawu,,3,No Elo Data,
Agim Ibraimi,,1,No Elo Data,
Agne Simonsson,,2,No Elo Data,
Aguibou Camara,,2,No Elo Data,
Agung Setyabudi,,1,No Elo Data,
Agustín Delgado,,10,No Elo Data,
Agustín Gaínza,,2,No Elo Data,
Ahmad Ajab,,1,No Elo Data,
Ahmad Al Saleh,,1,No Elo Data,
Ahmad Che Zambil,,1,No Elo Data,
Ahmad Hayel,,3,No Elo Data,
Ahmad Ibrahim Khalaf,,1,No Elo Data,
Ahmad Khalifa Hashim,,2,No Elo Data,
Ahmad Nourollahi,,3,No Elo Data,
Ahmed Abdul Karim Al-Brid,,1,No Elo Data,
Ahmed Abdul Maqsoud,,1,No Elo Data,
Ahmed Abdullahi Abdi,,1,No Elo Data,
Ahmed Abou El Fotouh,,1,No Elo Data,
Ahmed Abou Rehab,,1,No Elo Data,
Ahmed Akaïchi,,1,No Elo Data,
Ahmed Al Masli,,2,No Elo Data,
Ahmed Al-Fraidi,,1,No Elo Data,
Ahmed Al-Mousa,,1,No Elo Data,
Ahmed Al-Rawi,,1,No Elo Data,
Ahmed Al-Sarori,,1,No Elo Data,
Ahmed Al-Tash,,1,No Elo Data,
Ahmed Bahja,,1,No Elo Data,
Ahmed Belal,,1,No Elo Data,
Ahmed Bushara Wahba,,2,No Elo Data,
Ahmed Chombi,,1,No Elo Data,
Ahmed Eid Abdel Malek,,1,No Elo Data,
Ahmed El-Kass,,2,No Elo Data,
Ahmed Elmohamady,,2,No Elo Data,
Ahmed Faras,,6,No Elo Data,
Ahmed Fathy,,2,No Elo Data,
Ahmed H. Saeed,,1,No Elo Data,
Ahmed Hassan,Egypt,5,17.25,72.0
Ahmed Jamil Madani,,2,No Elo Data,
Ahmed Khalil,,9,No Elo Data,
Ahmed Krawa'a,,2,No Elo Data,
Ahmed Maher,,1,No Elo Data,
Ahmed Makrouh,,1,No Elo Data,
Ahmed Mogni,,1,No Elo Data,
