giant_killer_name,player_team,opponent_team,elo_difference,goal_minute,player_value_eur
Abdelmoumene Djabou,Algeria,Germany,461,120.0,Not in FC26
Abdulelah Al-Amri,Saudi Arabia,Uruguay,324,41.0,Not in FC26
André Ayew,Ghana,Germany,455,54.0,Not in FC26
André Ayew,Ghana,Portugal,405,73.0,Not in FC26
Asamoah Gyan,Ghana,Germany,455,63.0,Not in FC26
Aymen Hussein,Iraq,Norway,305,39.0,Not in FC26
Benni McCarthy,South Africa,Spain,333,31.0,Not in FC26
Bernard Voorhoof,Belgium,Germany,349,29.0,Not in FC26
Bernard Voorhoof,Belgium,Germany,349,43.0,Not in FC26
Brian Cipenga,DR Congo,England,365,7.0,Not in FC26
Craig Goodwin,Australia,France,308,9.0,Not in FC26
Deroy Duarte,Cape Verde,Argentina,564,59.0,Not in FC26
Derrick Luckassen,Ghana,Croatia,427,73.0,Not in FC26
Didier Drogba,Ivory Coast,Brazil,383,79.0,Not in FC26
Dylan Bronn,Tunisia,Belgium,388,18.0,Not in FC26
Emmanuel Sanon,Haiti,Argentina,310,63.0,Not in FC26
Enzo Fernández,Australia,Argentina,371,77.0,Not in FC26
Fahad Al-Ghesheyan,Saudi Arabia,Sweden,310,85.0,Not in FC26
Felipe Baloy,Panama,England,393,78.0,Not in FC26
Freddy Rincón,Colombia,Germany,317,90.0,Not in FC26
Fuad Anwar,Saudi Arabia,Netherlands,318,18.0,Not in FC26
Gelson Fernandes,Switzerland,Spain,362,52.0,Not in FC26
Genki Haraguchi,Japan,Belgium,304,48.0,Not in FC26
Gervinho,Ivory Coast,Colombia,331,73.0,Not in FC26
Gino Pariani,United States,Spain,302,17.0,Not in FC26
Hassan Nader,Morocco,Netherlands,358,47.0,Not in FC26
Hazem Mastouri,Tunisia,Netherlands,325,54.0,Not in FC26
Heinz Schneiter,Switzerland,Germany,325,73.0,Not in FC26
Hong Myung-bo,South Korea,Spain,359,85.0,Not in FC26
Hong Myung-bo,South Korea,Germany,362,63.0,Not in FC26
Houmane Jarir,Morocco,Germany,400,21.0,Not in FC26
Hwang Sun-hong,South Korea,Germany,362,52.0,Not in FC26
Hélio Varela,Cape Verde,Uruguay,343,61.0,Not in FC26
Jean Nicolas,France,Austria,330,18.0,Not in FC26
Joe Gaetjens,United States,England,433,38.0,Not in FC26
Keiji Tamada,Japan,Brazil,354,34.0,Not in FC26
Kevin Pina,Cape Verde,Uruguay,343,21.0,Not in FC26
Lefter Küçükandonyadis,Turkey,Germany,399,82.0,Not in FC26
Livano Comenencia,Curaçao,Germany,487,21.0,950000
Lucas Radebe,South Africa,Spain,333,53.0,Not in FC26
Luis Cubilla,Uruguay,Brazil,314,19.0,Not in FC26
Manuel Rosas,Mexico,Argentina,562,65.0,Not in FC26
Miro Muheim,Qatar,Switzerland,464,90.0,Not in FC26
Musa Al-Taamari,Jordan,Argentina,423,55.0,Not in FC26
Mustafa Ertan,Turkey,Germany,399,21.0,Not in FC26
Osman Bukari,Ghana,Portugal,405,89.0,2800000
Paik Seung-ho,South Korea,Brazil,345,76.0,Not in FC26
Park Chang-Sun,South Korea,Argentina,401,73.0,Not in FC26
Park Ji-sung,South Korea,France,380,81.0,Not in FC26
Roberto Gayón,Mexico,Argentina,562,75.0,Not in FC26
Saleh Al-Shehri,Saudi Arabia,Argentina,500,48.0,Not in FC26
Salem Al-Dawsari,Saudi Arabia,Argentina,500,53.0,Not in FC26
Seo Jung-won,South Korea,Spain,359,90.0,Not in FC26
Sidny Lopes Cabral,Cape Verde,Argentina,564,103.0,1800000
Suat Mamat,Turkey,Germany,399,2.0,Not in FC26
Takashi Inui,Japan,Belgium,304,52.0,Not in FC26
Thomas Sjöberg,Sweden,Brazil,402,37.0,Not in FC26
Tim Cahill,Australia,Netherlands,377,21.0,Not in FC26
Vedad Ibišević,Bosnia and Herzegovina,Argentina,340,85.0,Not in FC26
Wahbi Khazri,Tunisia,Belgium,388,90.0,Not in FC26
Wahbi Khazri,Tunisia,France,336,58.0,Not in FC26
Yoane Wissa,DR Congo,Portugal,329,45.0,31000000
