home_team,total_home_wins
Brazil,440
Argentina,411
Mexico,356
Germany,346
England,344
South Korea,330
France,320
Sweden,315
Italy,310
Egypt,292
Spain,283
Hungary,280
Netherlands,276
United States,275
Japan,253
Belgium,249
Denmark,248
Thailand,245
Malaysia,241
Austria,238
Saudi Arabia,235
Scotland,232
China,229
Chile,226
Iran,223
Morocco,223
Poland,222
Portugal,222
Costa Rica,221
Uruguay,220
Indonesia,214
Ivory Coast,211
Romania,208
Algeria,206
Russia,204
Switzerland,203
Tunisia,202
Nigeria,201
Kenya,200
Ghana,197
Trinidad and Tobago,191
Australia,189
Iraq,188
Norway,186
Zambia,183
Kuwait,180
Qatar,180
Uganda,176
Cameroon,174
Senegal,173
United Arab Emirates,173
Honduras,166
Myanmar,164
Malawi,161
Colombia,159
Republic of Ireland,159
Jamaica,158
Bulgaria,156
Greece,150
Singapore,150
Czechoslovakia,148
South Africa,148
Peru,147
El Salvador,145
Mali,144
Turkey,143
Bahrain,142
Paraguay,142
Oman,141
Wales,140
Guatemala,135
Guinea,135
India,127
DR Congo,125
Ecuador,125
Haiti,123
Finland,121
Israel,119
Croatia,117
Northern Ireland,117
Czech Republic,116
Panama,113
Tanzania,113
Jordan,112
Libya,111
Burkina Faso,110
Ethiopia,110
Yugoslavia,108
Suriname,105
Canada,103
Zimbabwe,102
Hong Kong,100
Uzbekistan,99
Angola,98
Bolivia,97
New Zealand,96
Congo,95
Gabon,93
New Caledonia,92
Sudan,92
Jersey,90
Togo,90
Fiji,89
Iceland,89
Martinique,89
North Korea,89
Syria,89
Curaçao,88
Vietnam,88
Guernsey,87
Ukraine,87
Estonia,83
Latvia,79
Madagascar,79
Albania,78
Slovakia,78
German DR,77
Cuba,75
Mozambique,73
Serbia,73
Tahiti,72
Guadeloupe,70
Slovenia,68
Venezuela,67
Guyana,65
Barbados,64
Botswana,64
Liberia,64
Sierra Leone,64
Benin,63
Cyprus,62
Georgia,62
Philippines,61
Cape Verde,60
North Macedonia,60
Saint Kitts and Nevis,60
Bosnia and Herzegovina,59
Rwanda,59
Lebanon,58
Lithuania,57
Solomon Islands,56
Grenada,55
Mauritius,55
Antigua and Barbuda,52
Bangladesh,52
Cambodia,52
Gambia,51
Saint Vincent and the Grenadines,51
Belarus,50
Nepal,49
Malta,47
Saint Lucia,47
Bermuda,46
Kazakhstan,45
Namibia,45
Niger,45
Tajikistan,44
Dominican Republic,43
Armenia,42
Maldives,41
Azerbaijan,40
Burundi,40
Faroe Islands,40
Montenegro,40
Palestine,40
Guinea-Bissau,39
Equatorial Guinea,38
Mauritania,38
Vietnam Republic,37
Dominica,36
Sri Lanka,36
Turkmenistan,36
Yemen,36
Taiwan,35
Réunion,34
Kyrgyzstan,33
Pakistan,33
Eswatini,32
French Guiana,32
Laos,32
Luxembourg,32
Nicaragua,32
Lesotho,31
Gibraltar,30
Moldova,30
Vanuatu,29
Kosovo,28
Papua New Guinea,26
Puerto Rico,26
Central African Republic,24
Aruba,23
Basque Country,23
Cayman Islands,22
Belize,21
Seychelles,21
Padania,20
Ynys Môn,20
Zanzibar,20
Chad,19
Samoa,19
Afghanistan,18
Catalonia,18
Comoros,18
Guam,17
Isle of Man,17
Mongolia,17
Brunei,16
Isle of Wight,16
Macau,16
Northern Cyprus,15
Saint Martin,14
Shetland,14
Åland Islands,14
British Virgin Islands,13
Greenland,13
Abkhazia,12
Andorra,12
Occitania,12
Liechtenstein,11
Sint Maarten,11
Bahamas,10
Sápmi,10
Tamil Eelam,10
Ellan Vannin,9
Gotland,9
Menorca,9
Montserrat,9
Tonga,9
Bhutan,8
Iraqi Kurdistan,8
Rhodes,8
South Sudan,8
São Tomé and Príncipe,8
Andalusia,7
Eritrea,7
Orkney,7
Székely Land,7
Turks and Caicos Islands,7
Western Isles,7
Cook Islands,6
Djibouti,6
Somalia,6
Timor-Leste,6
Brittany,5
Monaco,5
Tuvalu,5
Artsakh,4
Bonaire,4
Frøya,4
Hitra,4
Kernow,4
Mayotte,4
Provence,4
Raetia,4
Saare County,4
Saint Barthélemy,4
United States Virgin Islands,4
Yorkshire,4
American Samoa,3
Barawa,3
Canary Islands,3
Corsica,3
Galicia,3
Gozo,3
Kárpátalja,3
North Vietnam,3
Northern Mariana Islands,3
Panjab,3
Silesia,3
Anguilla,2
Cascadia,2
Chameria,2
County of Nice,2
Elba Island,2
Falkland Islands,2
Luhansk PR,2
Parishes of Jersey,2
San Marino,2
Sealand,2
South Ossetia,2
United Koreans in Japan,2
Wallis Islands and Futuna,2
Western Sahara,2
Alderney,1
Arameans Suryoye,1
Biafra,1
Central Spain,1
Chagos Islands,1
Donetsk PR,1
Délvidék,1
Felvidék,1
Franconia,1
Hmong,1
Kurdistan,1
Mapuche,1
Matabeleland,1
Micronesia,1
Quebec,1
Republic of St. Pauli,1
Romani people,1
Somaliland,1
Western Armenia,1
Western Australia,1
Yemen DPR,1
