scorer,late_goals_count,power_stamina,fc26_overall
Cristiano Ronaldo,19,77.0,85.0
Harry Kane,11,76.0,89.0
Robert Lewandowski,11,76.0,88.0
Son Heung-min,10,87.0,85.0
Memphis Depay,9,74.0,81.0
Younis Mahmoud,9,,
Carlos Ruiz,8,64.0,67.0
Gerd Müller,8,,
Kylian Mbappé,8,83.0,91.0
Lionel Messi,8,70.0,86.0
Ali Daei,7,,
Ali Mabkhout,7,,
Mikel Oyarzabal,7,79.0,82.0
Paolo Guerrero,7,35.0,72.0
Romelu Lukaku,7,74.0,84.0
Davor Šuker,6,,
Edin Džeko,6,68.0,81.0
Gareth Bale,6,,
Georginio Wijnaldum,6,76.0,78.0
Gerson Rodrigues,6,,
