country_name,year_of_drop,elo_drop_amount,avg_fc26_potential,total_losses_in_year
Mexico,1969,189.0,75.06818181818181,10.0
Spain,2014,150.0,74.58301158301158,5.0
Belgium,2024,139.0,74.54983922829582,6.0
Algeria,1992,128.0,75.03333333333333,3.0
Belgium,2022,127.0,74.54983922829582,4.0
Uzbekistan,1996,127.0,76.4,6.0
Belgium,1924,121.0,74.54983922829582,4.0
Algeria,2010,119.0,75.03333333333333,9.0
Mexico,2013,119.0,75.06818181818181,7.0
Algeria,1968,115.0,75.03333333333333,3.0
Mexico,1930,115.0,75.06818181818181,3.0
Uzbekistan,2000,113.0,76.4,5.0
Spain,1991,110.0,74.58301158301158,5.0
Mexico,1950,105.0,75.06818181818181,3.0
Spain,1928,102.0,74.58301158301158,1.0
Algeria,2004,99.0,75.03333333333333,7.0
Belgium,1984,99.0,74.54983922829582,5.0
Morocco,2000,96.0,74.71830985915493,5.0
Algeria,2017,95.0,75.03333333333333,4.0
Algeria,2022,95.0,75.03333333333333,4.0
Portugal,1981,95.0,74.72492836676217,5.0
Portugal,1969,93.0,74.72492836676217,3.0
Mexico,1952,92.0,75.06818181818181,4.0
Morocco,2009,92.0,74.71830985915493,3.0
Egypt,1971,91.0,74.7,2.0
Mexico,1978,89.0,75.06818181818181,5.0
Mexico,2021,89.0,75.06818181818181,6.0
Mexico,1928,88.0,75.06818181818181,2.0
Jordan,2023,87.0,75.33333333333333,4.0
Mexico,1995,86.0,75.06818181818181,6.0
Morocco,2002,86.0,74.71830985915493,2.0
Morocco,1979,85.0,74.71830985915493,1.0
Mexico,1973,83.0,75.06818181818181,4.0
Belgium,1977,81.0,74.54983922829582,5.0
Mexico,2000,80.0,75.06818181818181,6.0
Jordan,1963,79.0,75.33333333333333,5.0
Portugal,2002,79.0,74.72492836676217,3.0
Belgium,2004,78.0,74.54983922829582,5.0
Jordan,2012,78.0,75.33333333333333,8.0
Algeria,1965,77.0,75.03333333333333,4.0
Algeria,1983,76.0,75.03333333333333,3.0
Algeria,1998,75.0,75.03333333333333,4.0
Spain,2006,74.0,74.58301158301158,4.0
Egypt,2009,71.0,74.7,4.0
Egypt,2014,70.0,74.7,4.0
Portugal,1986,70.0,74.72492836676217,3.0
Morocco,2019,69.0,74.71830985915493,4.0
Spain,1979,69.0,74.58301158301158,3.0
Mexico,2018,68.0,75.06818181818181,9.0
Jordan,2001,67.0,75.33333333333333,4.0
Spain,1962,67.0,74.58301158301158,3.0
Portugal,2021,66.0,74.72492836676217,3.0
Algeria,1988,65.0,75.03333333333333,1.0
Egypt,1979,64.0,74.7,1.0
Mexico,1948,64.0,75.06818181818181,
Mexico,2017,64.0,75.06818181818181,5.0
Morocco,1994,64.0,74.71830985915493,5.0
Egypt,1960,63.0,74.7,4.0
Egypt,1976,63.0,74.7,3.0
Spain,1988,63.0,74.58301158301158,6.0
Morocco,1989,62.0,74.71830985915493,2.0
Spain,1998,62.0,74.58301158301158,3.0
Algeria,1985,61.0,75.03333333333333,4.0
Belgium,1994,61.0,74.54983922829582,5.0
Egypt,1973,61.0,74.7,4.0
Egypt,2012,60.0,74.7,2.0
Belgium,1934,59.0,74.54983922829582,4.0
Egypt,1965,59.0,74.7,
Egypt,2011,57.0,74.7,3.0
Portugal,2008,57.0,74.72492836676217,6.0
Uzbekistan,2017,57.0,76.4,4.0
Jordan,2009,56.0,75.33333333333333,6.0
Morocco,1981,56.0,74.71830985915493,4.0
Egypt,1951,55.0,74.7,1.0
Mexico,1991,55.0,75.06818181818181,2.0
Spain,1924,55.0,74.58301158301158,1.0
Egypt,2004,54.0,74.7,3.0
Spain,1969,54.0,74.58301158301158,2.0
Belgium,1955,53.0,74.54983922829582,5.0
Mexico,1958,53.0,75.06818181818181,2.0
Mexico,2005,52.0,75.06818181818181,6.0
Portugal,1961,52.0,74.72492836676217,3.0
Algeria,1974,51.0,75.03333333333333,3.0
Belgium,1956,51.0,74.54983922829582,5.0
Portugal,1968,51.0,74.72492836676217,2.0
