short_name,age,value_eur,wage_eur,club_name
P. Aaronson,21,11500000,7000,Colorado Rapids
L. Stassin,20,12500000,8000,AS Saint-Étienne
G. Restes,20,26500000,9000,Toulouse FC
Rodrigo Mora,18,17500000,9000,FC Porto
Martim Fernandes,19,11500000,9000,FC Porto
G. Read,19,13000000,10000,Feyenoord
Geovany Quenda,18,17500000,12000,Sporting CP
Samu,21,36000000,14000,FC Porto
O. Gloukh,21,17000000,14000,Ajax
A. Schjelderup,21,12500000,14000,SL Benfica
A. Bouaddi,17,11500000,14000,Lille OSC
E. Nuamah,21,11500000,14000,Olympique Lyonnais
Z. Debast,21,30000000,15000,Sporting CP
António Silva,21,29500000,15000,SL Benfica
W. Goes,21,22000000,15000,AZ Alkmaar
F. Ivanović,21,12500000,15000,SL Benfica
O. El Hilali,21,16000000,16000,RCD Espanyol
J. Jacquet,19,11500000,16000,Stade Rennais FC
L. Rodríguez,21,10500000,16000,NEOM SC
O. Diomande,21,40000000,17000,Sporting CP
M. Fofana,20,31000000,17000,Olympique Lyonnais
M. Smets,21,15500000,17000,KRC Genk
M. Fernandez-Pardo,20,12500000,19000,Lille OSC
J. Ordoñez,21,12000000,19000,Club Brugge KV
Juanlu Sánchez,21,12000000,19000,Sevilla FC
C. Mawissa,20,11500000,19000,AS Monaco
Carlos Álvarez,21,11500000,19000,Levante UD
