card_id,disp_id,type
1,9,gold
2,19,classic
3,41,gold
4,42,classic
5,51,junior
7,56,classic
8,60,junior
9,76,classic
10,77,classic
11,79,gold
12,83,junior
13,87,classic
14,112,classic
15,114,classic
18,128,classic
19,130,classic
20,131,classic
22,138,classic
23,146,classic
24,153,junior
26,161,classic
27,167,junior
28,174,junior
29,192,classic
30,202,classic
31,208,classic
32,219,classic
33,221,junior
34,225,classic
35,231,classic
36,236,classic
37,238,classic
38,242,classic
39,254,classic
40,255,classic
41,256,classic
42,264,junior
43,267,classic
44,268,junior
46,273,classic
47,280,classic
48,295,classic
49,305,classic
50,309,classic
51,321,classic
52,326,gold
54,334,classic
55,335,classic
56,339,classic
57,347,classic
58,358,classic
59,365,classic
61,374,classic
63,378,junior
64,402,classic
66,425,classic
67,429,junior
68,434,classic
69,438,classic
70,439,classic
71,441,classic
72,447,classic
73,451,junior
74,453,classic
75,457,classic
76,464,classic
77,466,classic
78,468,classic
79,469,classic
80,471,classic
81,473,classic
82,474,classic
83,483,classic
84,487,classic
85,489,classic
86,490,classic
87,493,classic
88,496,classic
89,497,classic
90,503,classic
91,504,junior
92,508,classic
93,510,classic
94,513,classic
95,519,junior
96,528,classic
97,531,junior
98,537,classic
99,548,gold
100,562,gold
101,566,classic
102,575,classic
103,584,junior
104,588,classic
105,590,classic
106,592,classic
107,593,classic
108,597,classic
109,605,classic
110,608,classic
111,615,classic
112,626,junior
113,629,junior
115,638,classic
116,646,classic
117,649,junior
118,652,classic
120,662,classic
121,666,junior
122,667,junior
123,679,classic
124,688,classic
125,694,gold
126,707,classic
127,714,classic
128,716,classic
129,719,classic
130,722,classic
131,725,classic
132,731,junior
133,742,classic
134,769,classic
136,778,classic
137,786,junior
138,791,classic
139,797,classic
141,808,classic
143,816,classic
145,819,classic
146,822,classic
147,826,junior
148,834,classic
149,858,classic
150,859,classic
152,876,classic
153,886,gold
154,887,classic
155,900,junior
156,906,junior
157,907,classic
158,928,gold
160,954,classic
161,963,classic
162,967,junior
163,984,classic
165,996,junior
166,999,classic
167,1011,classic
168,1018,classic
169,1019,classic
171,1027,classic
172,1030,classic
173,1031,classic
174,1039,junior
175,1040,classic
176,1049,classic
177,1056,classic
178,1057,classic
179,1059,classic
180,1062,classic
181,1066,classic
182,1067,gold
183,1080,classic
184,1089,gold
185,1098,classic
187,1140,classic
188,1146,classic
190,1165,classic
191,1168,junior
192,1169,classic
193,1179,gold
194,1182,classic
195,1194,classic
197,1202,junior
198,1211,junior
199,1213,classic
200,1220,gold
201,1223,classic
202,1228,classic
203,1231,classic
204,1239,junior
205,1242,classic
206,1243,classic
207,1244,classic
208,1246,gold
209,1251,classic
210,1253,classic
211,1271,classic
