loan_id,account_id,date,amount,duration,payments,target
4973,67,1996-05-02,165960,24,6915,0
4986,97,1997-08-10,102876,12,8573,0
4988,103,1997-12-06,265320,36,7370,3
4990,110,1997-09-08,162576,36,4516,2
4996,132,1996-11-06,88440,12,7370,0
5002,173,1994-05-31,104808,12,8734,0
5005,176,1997-04-10,27456,12,2288,0
5015,226,1998-07-12,109344,12,9112,2
5032,290,1994-11-03,123696,48,2577,0
5034,303,1998-05-30,112752,36,3132,2
5036,309,1998-11-25,91248,48,1901,2
5039,314,1997-05-03,66840,24,2785,2
5041,319,1997-07-11,369000,60,6150,2
5042,330,1998-07-12,331584,48,6908,2
5043,339,1997-12-25,468060,60,7801,2
5044,344,1994-12-21,100980,60,1683,2
5045,347,1995-05-01,187224,24,7801,1
5046,349,1998-09-09,42816,12,3568,2
5051,378,1997-10-11,230400,60,3840,2
5060,426,1994-07-19,252060,60,4201,3
5061,440,1998-03-13,84288,48,1756,2
5063,442,1997-07-10,357840,48,7455,3
5072,472,1997-04-28,196800,24,8200,3
5086,525,1997-07-16,210384,48,4383,2
5088,544,1996-08-22,91152,24,3798,0
5110,675,1997-04-01,102240,60,1704,2
5124,785,1998-02-12,156096,36,4336,2
5125,789,1995-11-23,73056,48,1522,2
5128,808,1996-04-11,215616,48,4492,3
5130,813,1994-05-11,24312,12,2026,0
5132,817,1995-02-17,538500,60,8975,2
5134,825,1997-02-02,53076,12,4423,0
5136,846,1996-07-28,187104,24,7796,0
5138,854,1995-05-30,87216,48,1817,2
5147,938,1998-05-21,22260,60,371,2
5148,940,1996-05-29,284280,60,4738,2
5151,960,1995-05-24,189060,60,3151,2
5158,1004,1998-04-11,188532,36,5237,2
5160,1011,1995-12-18,204000,60,3400,2
5161,1012,1994-10-28,98184,24,4091,0
5169,1068,1998-09-24,253200,60,4220,2
5170,1071,1994-01-20,253200,60,4220,2
5172,1083,1998-04-16,50976,36,1416,2
5174,1093,1997-06-13,385104,48,8023,2
5176,1106,1994-11-12,192552,24,8023,1
5189,1166,1994-02-07,149040,48,3105,0
5206,1242,1997-09-07,128544,24,5356,2
5207,1244,1997-02-28,35904,48,748,2
5208,1247,1995-03-16,99696,48,2077,3
