ID,Age,Sex,EducationLevel,Country,Background,EmotionalStabilityScore,SocialEnergyScore,OpennessScore,CooperationScore,SelfDisciplineScore,ImpulseControlScore,NoveltySeekingScore,Marijuana,LSD,Mushroom,Psychotropic,Ex
1,1.09449,0.48246,-1.7379,-0.09765,-0.31685,0.04257,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,0,0,0,0,0
2,-0.95197,-0.48246,0.45468,-0.57009,-1.10702,0.82562,0.32197,0.58331,0.94156,-0.00665,1.29221,0.7654,2,1,1,1,1
3,-0.07854,0.48246,-0.05921,-0.57009,0.1144,-0.14882,0.80523,0.7233,-2.07848,-1.78169,1.86203,1.92173,1,0,0,0,0
4,1.09449,-0.48246,0.45468,0.96082,-0.31685,-1.86962,0.63779,-1.11902,-0.45321,-0.00665,-0.21712,-0.84637,0,0,0,0,0
5,-0.07854,-0.48246,-0.61113,0.96082,-0.31685,1.98437,2.127,-0.31776,-0.60633,-0.00665,1.29221,0.07987,0,0,0,2,2
6,-0.95197,-0.48246,-1.43719,-0.57009,-1.10702,-0.34799,-1.92173,-0.58331,-1.772,0.58489,-0.21712,1.2247,2,0,0,0,0
7,-0.95197,0.48246,1.16365,0.96082,-0.31685,-0.24649,0.47617,0.88309,-0.15487,1.81175,0.52975,0.40148,0,0,0,0,0
8,-0.07854,-0.48246,-0.61113,-0.57009,-1.10702,0.52135,-3.00537,0.29338,-1.34289,-2.04506,0.88113,0.7654,2,1,1,2,0
9,-0.95197,-0.48246,-0.61113,-0.57009,0.1144,-1.55078,1.2861,-0.45174,-0.60633,-0.00665,0.88113,1.2247,1,0,0,1,0
10,-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.34799,0.16767,-0.01928,0.59042,0.58489,-1.37983,-1.18084,0,0,0,0,0
11,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,-0.92104,-0.69509,0.14143,-0.60633,-0.27607,0.19268,0.40148,2,1,1,0,0
12,-0.07854,0.48246,1.98437,0.96082,-0.31685,-1.05308,-0.43999,0.14143,0.28783,-0.27607,-0.71126,-0.21575,0,0,0,0,0
13,-0.95197,0.48246,0.45468,0.96082,-1.10702,-0.34799,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987,2,0,0,1,0
14,-0.95197,-0.48246,-0.61113,-0.57009,0.1144,-0.46725,-0.43999,-0.01928,-1.34289,-1.13788,1.86203,1.2247,1,0,0,1,0
15,-0.95197,0.48246,-0.61113,-0.57009,0.1144,1.23461,-0.30033,-0.01928,-0.01729,-0.40581,-0.21712,-0.21575,1,0,1,2,1
16,-0.95197,-0.48246,-0.05921,0.96082,0.1144,0.41667,-0.94779,0.7233,-1.21213,-0.52745,-0.71126,-0.52593,1,0,0,0,0
17,1.09449,-0.48246,-0.05921,0.96082,-0.31685,0.41667,0.47617,-0.84732,-1.47955,0.41594,1.29221,1.2247,0,0,0,0,0
18,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,1.13281,-0.43999,0.88309,-0.45321,-1.38502,0.88113,0.40148,2,2,1,1,1
19,-0.95197,0.48246,-0.61113,-0.57009,0.1144,1.8399,2.32338,-2.39883,-1.47955,-1.38502,1.86203,1.2247,1,0,1,1,2
20,0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.79151,0.63779,-0.17779,-1.34289,0.25953,0.88113,0.40148,0,0,0,0,0
21,1.09449,-0.48246,-0.05921,0.24923,-0.31685,0.22393,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,0,0,0,0,0
22,-0.95197,0.48246,1.16365,0.96082,-0.31685,0.04257,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,0,0,0,0,0
23,-0.07854,-0.48246,-0.61113,0.96082,-1.10702,0.73545,0.47617,1.88511,1.61108,0.41594,-0.21712,0.07987,2,1,1,1,1
24,-0.07854,0.48246,1.16365,-0.57009,-1.10702,1.02119,2.127,1.24033,-0.76096,1.46191,0.88113,1.92173,2,1,2,0,1
25,-0.95197,0.48246,-0.61113,0.96082,0.1144,1.49158,2.57309,0.29338,-1.21213,-1.25773,1.86203,0.7654,1,0,0,1,1
26,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,1.02119,-0.30033,-0.58331,-0.76096,-0.52745,-0.21712,0.7654,2,0,1,1,1
27,-0.07854,0.48246,1.98437,0.96082,0.1144,0.41667,2.32338,1.43533,0.59042,0.58489,-0.21712,0.07987,1,0,0,0,0
28,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,1.60383,0.63779,-0.31776,-0.91699,-0.00665,0.19268,0.7654,2,1,1,2,1
29,-0.07854,0.48246,0.45468,0.96082,0.1144,-0.92104,1.11406,0.88309,0.13136,-0.00665,0.52975,0.07987,1,0,0,0,0
30,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,-0.46725,1.11406,0.7233,-0.91699,1.13407,-0.71126,0.07987,2,0,1,0,0
