iter	Passed	Remaining
0	4	2463
1	8	2232
2	12	2151
3	16	2077
4	20	2035
5	24	2002
6	28	2001
7	32	1984
8	36	1982
9	38	1875
10	42	1889
11	46	1893
12	50	1892
13	54	1897
14	58	1900
15	62	1902
16	66	1898
17	70	1898
18	74	1888
19	78	1875
20	79	1816
21	83	1806
22	86	1799
23	90	1792
24	94	1787
25	97	1783
26	101	1781
27	105	1782
28	109	1774
29	112	1765
30	116	1765
31	119	1740
32	122	1735
33	126	1731
34	129	1726
35	133	1718
36	136	1712
37	140	1704
38	143	1701
39	147	1701
40	151	1698
41	155	1694
42	158	1688
43	162	1682
44	165	1677
45	169	1673
46	173	1669
47	177	1668
48	180	1665
49	184	1661
50	188	1655
51	191	1649
52	194	1644
53	198	1638
54	202	1635
55	205	1631
56	209	1629
57	213	1625
58	216	1619
59	220	1613
60	223	1608
61	226	1602
62	230	1598
63	233	1593
64	237	1588
65	240	1583
66	244	1577
67	247	1571
68	250	1566
69	254	1564
70	258	1562
71	262	1558
72	265	1553
73	269	1550
74	272	1545
75	276	1540
76	279	1535
77	283	1531
78	286	1527
79	290	1523
80	293	1518
81	296	1513
82	300	1509
83	303	1504
84	307	1499
85	310	1495
86	314	1492
87	318	1489
88	322	1487
89	325	1483
90	329	1480
91	332	1476
92	336	1471
93	339	1466
94	342	1461
95	346	1458
96	350	1455
97	353	1451
98	357	1447
99	361	1444
100	364	1440
101	368	1436
102	371	1432
103	375	1427
104	378	1424
105	382	1421
106	385	1417
107	389	1413
108	393	1410
109	396	1405
110	399	1401
111	403	1396
112	407	1394
113	411	1391
114	414	1387
115	417	1382
116	421	1378
117	424	1374
118	427	1370
119	431	1365
120	434	1360
121	437	1356
122	441	1352
123	444	1348
124	448	1344
125	451	1339
126	455	1337
127	458	1333
128	462	1329
129	465	1325
130	468	1320
131	472	1316
132	475	1312
133	479	1308
134	482	1304
135	485	1300
136	489	1296
137	492	1292
138	496	1288
139	499	1284
140	503	1280
141	506	1277
142	510	1273
143	513	1269
144	517	1266
145	520	1263
146	524	1259
147	527	1255
148	531	1251
149	534	1247
150	538	1243
151	541	1239
152	544	1235
153	548	1231
154	551	1227
155	554	1223
156	558	1219
157	561	1216
158	565	1213
159	569	1209
160	572	1205
161	575	1201
162	579	1197
163	582	1193
164	585	1189
165	589	1185
166	593	1182
167	596	1179
168	600	1175
169	603	1172
170	607	1168
171	610	1164
172	614	1160
173	617	1156
174	620	1153
175	624	1149
176	628	1146
177	631	1142
178	634	1138
179	638	1135
180	645	1137
181	649	1135
182	656	1136
183	661	1136
184	665	1132
185	669	1130
186	673	1127
187	677	1123
188	680	1120
189	685	1118
190	689	1115
191	692	1111
192	696	1108
193	700	1105
194	704	1102
195	709	1100
196	712	1096
197	716	1093
198	720	1089
199	724	1086
200	728	1084
201	732	1081
202	736	1077
203	740	1074
204	743	1070
205	747	1066
206	750	1062
207	754	1058
208	757	1054
209	760	1050
210	764	1046
211	767	1042
212	770	1038
213	774	1034
214	777	1031
215	781	1027
216	784	1023
217	788	1019
218	791	1015
219	795	1012
220	799	1009
221	802	1005
222	806	1001
223	809	997
224	813	994
225	816	989
226	819	986
227	823	981
228	826	978
229	830	974
230	833	970
231	837	967
232	840	963
233	844	959
234	847	955
235	851	952
236	855	949
237	858	945
238	861	941
239	865	937
240	868	933
241	872	929
242	875	925
243	878	922
244	882	918
245	886	915
246	890	912
247	893	908
248	897	904
249	901	901
250	904	897
251	907	893
252	911	889
253	915	886
254	918	882
255	921	878
256	925	874
257	928	871
258	932	867
259	935	863
260	939	860
261	942	856
262	946	852
263	950	849
264	953	845
265	956	841
266	960	837
267	963	834
268	966	830
269	970	826
270	974	823
271	977	819
272	981	816
273	984	812
274	988	808
275	992	805
276	995	801
277	999	797
278	1002	794
279	1006	790
280	1010	787
281	1013	783
282	1017	779
283	1020	776
284	1023	772
285	1027	768
286	1030	764
287	1033	760
288	1037	757
289	1041	754
290	1045	750
291	1048	746
292	1051	743
293	1055	739
294	1058	735
295	1061	731
296	1065	728
297	1068	724
298	1072	720
299	1075	717
300	1079	713
301	1083	710
302	1086	706
303	1090	702
304	1093	699
305	1097	695
306	1100	691
307	1103	688
308	1107	684
309	1110	680
310	1114	677
311	1117	673
312	1120	669
313	1124	665
314	1127	662
315	1130	658
316	1134	654
317	1137	650
318	1140	647
319	1144	643
320	1148	640
321	1151	636
322	1155	632
323	1158	629
324	1163	626
325	1166	622
326	1169	618
327	1173	615
328	1176	611
329	1179	607
330	1182	603
331	1186	600
332	1190	596
333	1194	593
334	1197	589
335	1200	586
336	1204	582
337	1207	578
338	1211	575
339	1214	571
340	1217	567
341	1221	564
342	1224	560
343	1227	556
344	1231	553
345	1234	549
346	1238	545
347	1241	542
348	1244	538
349	1248	535
350	1252	531
351	1256	528
352	1259	524
353	1263	521
354	1266	517
355	1270	513
356	1273	510
357	1277	506
358	1280	502
359	1284	499
360	1288	495
361	1291	492
362	1295	488
363	1299	485
364	1303	481
365	1306	478
366	1310	474
367	1313	471
368	1317	467
369	1320	464
370	1324	460
371	1328	457
372	1331	453
373	1335	449
374	1338	446
375	1342	442
376	1346	439
377	1349	435
378	1353	432
379	1357	428
380	1361	425
381	1365	421
382	1368	418
383	1372	414
384	1376	411
385	1379	407
386	1383	403
387	1386	400
388	1390	396
389	1393	393
390	1397	389
391	1400	385
