iter	RMSE
0	0.9260769885
1	0.9047413462
2	0.8838337226
3	0.8621113892
4	0.8425151868
5	0.8227924802
6	0.8029770098
7	0.7845653608
8	0.766493248
9	0.7494450251
10	0.7327197188
11	0.7167589163
12	0.7005470692
13	0.6841505816
14	0.6691777768
15	0.6544231618
16	0.6395807978
17	0.6265286883
18	0.6132083637
19	0.6000464258
20	0.5881784979
21	0.5751057205
22	0.5624777291
23	0.5509242651
24	0.5396065273
25	0.5276762605
26	0.5164586865
27	0.5055054486
28	0.4951430724
29	0.484663929
30	0.4754347029
31	0.4657809932
32	0.4562966015
33	0.4469546346
34	0.4381797954
35	0.42996819
36	0.4217837785
37	0.4135259371
38	0.4054304141
39	0.3984864378
40	0.3912872703
41	0.384257322
42	0.3780306718
43	0.3713978449
44	0.3650471933
45	0.3588002987
46	0.3524366692
47	0.3466434164
48	0.339945557
49	0.3344127541
50	0.3286938374
51	0.322953736
52	0.3178355581
53	0.3121048414
54	0.3068699073
55	0.3018341942
56	0.2967164333
57	0.292072453
58	0.287727946
59	0.2835224521
60	0.2794355897
61	0.2753152981
62	0.2713718863
63	0.2676344852
64	0.2637368073
65	0.2602884582
66	0.2564135584
67	0.2525610781
68	0.2493356354
69	0.2461004156
70	0.2423450163
71	0.2389749196
72	0.2357657686
73	0.2326928618
74	0.2299300534
75	0.2272179956
76	0.2243466925
77	0.2215675671
78	0.2189507455
79	0.2163503665
80	0.2137895145
81	0.2113069891
82	0.2091823866
83	0.2068140866
84	0.2047166748
85	0.2021243271
86	0.1999199815
87	0.197931244
88	0.1958262225
89	0.1938227034
90	0.1918157436
91	0.1897365988
92	0.1878871917
93	0.1862585846
94	0.1845567172
95	0.1823021803
96	0.1802684334
97	0.1783601015
98	0.1766221512
99	0.1753083944
100	0.1738186271
101	0.1721617905
102	0.1707723337
103	0.1693820585
104	0.1681363201
105	0.1667752063
106	0.1655168463
107	0.1641633217
108	0.1629550025
109	0.1619007373
110	0.1602093302
111	0.1588380409
112	0.1579625536
113	0.1566620868
114	0.1555594173
115	0.1541326064
116	0.1528153613
117	0.1513987239
118	0.1503760344
119	0.1494231986
120	0.1483567733
121	0.1471861518
122	0.1457489965
123	0.1449139315
124	0.144005068
125	0.1426610546
126	0.1418297526
127	0.1408546046
128	0.1396734236
129	0.1384536762
130	0.1377153673
131	0.1369982405
132	0.1359399017
133	0.1352474517
134	0.134454101
135	0.133393101
136	0.1327674096
137	0.1321428898
138	0.1316079335
139	0.1309622433
140	0.1303032865
141	0.1294218427
142	0.1282384444
143	0.1276842352
144	0.1270791413
145	0.1264412189
146	0.1258211532
147	0.1246987133
148	0.1235527865
149	0.1230201941
150	0.1225514435
151	0.1212807178
152	0.120752724
153	0.1200772414
154	0.1192846035
155	0.1187841722
156	0.118178289
157	0.1175025856
158	0.1170073427
159	0.1165684352
160	0.1159510432
161	0.1152670226
162	0.1148916788
163	0.1145300972
164	0.1140683932
165	0.1132638569
166	0.1124981268
167	0.1119676113
168	0.1114772718
169	0.1108940758
170	0.1100412938
171	0.1095801836
172	0.1090279381
173	0.1085902469
174	0.1081522341
175	0.1076081978
176	0.1071009797
177	0.1062525613
178	0.1056564646
179	0.1052014207
180	0.1048411783
181	0.1040488052
182	0.1035170192
183	0.1032024266
184	0.1028517424
185	0.1025699844
186	0.1021347617
187	0.1011984128
188	0.1008299533
189	0.1005251613
190	0.1000350464
191	0.0994788792
192	0.09857318217
193	0.09788311007
194	0.09748916054
195	0.09712682784
196	0.09669295707
197	0.09638207623
198	0.09588494469
199	0.0953744557
200	0.09489565736
201	0.09454237477
202	0.0941413616
203	0.09389944612
204	0.09373153936
205	0.0933626651
206	0.0930057066
207	0.0926127759
208	0.09225276112
209	0.09174567571
210	0.09138445948
211	0.09109118583
212	0.09067292469
213	0.09028299751
214	0.09004764331
215	0.08978782992
216	0.08901838868
217	0.08871789553
218	0.088420344
219	0.08820701542
220	0.087952778
221	0.0875616155
222	0.08729473135
223	0.08693351809
224	0.08660103817
225	0.08636833953
226	0.0860379552
227	0.0854195886
228	0.08520726467
229	0.08491687006
230	0.08467288804
231	0.08446519234
232	0.08416044062
233	0.08389406998
234	0.08359184956
235	0.08337679011
236	0.08275932536
237	0.08258196371
238	0.08236697856
239	0.08164845166
240	0.0814337986
241	0.08077221435
242	0.08016847299
243	0.07955824486
244	0.07934856265
245	0.07907835889
246	0.07884085506
247	0.07864080033
248	0.07819425411
249	0.07756943147
250	0.07730448583
251	0.0770328324
252	0.07676680611
253	0.07655413246
254	0.0759440578
255	0.07571542442
256	0.07546098344
257	0.0751974447
258	0.07499431526
259	0.07482871919
260	0.07427250143
261	0.07406137435
262	0.07386775443
263	0.07359400135
264	0.07331842508
265	0.07284789122
266	0.07263087579
267	0.0720307725
268	0.07175195366
269	0.0712616274
270	0.07084809974
271	0.07066745921
272	0.07048120247
273	0.07031912438
274	0.07013873402
275	0.06996024123
276	0.06964163053
277	0.06946462547
278	0.06931035436
279	0.06904960489
280	0.06885556983
281	0.0683183254
282	0.06787116957
283	0.06745011407
284	0.06725490342
285	0.06710137541
286	0.06694125588
287	0.06669119899
288	0.06651403401
289	0.06632624535
290	0.06611295421
291	0.0659249318
292	0.0654054312
293	0.06495474297
294	0.06476997341
295	0.06457307113
296	0.06437897288
297	0.06418768007
298	0.06379483132
299	0.0636874534
300	0.06351221258
301	0.06334372158
302	0.0631190499
303	0.06283013632
304	0.06247580723
305	0.06232485632
306	0.0621176577
307	0.06196854276
308	0.06176616302
309	0.06162605948
310	0.0614563217
311	0.06131599231
312	0.0611327083
313	0.06098779271
314	0.0606073956
315	0.06028681547
316	0.06015094058
317	0.0600263175
318	0.05985146943
319	0.0597006316
320	0.05939332742
321	0.05925784785
322	0.05911904394
323	0.05880357066
324	0.05867681406
325	0.05856332999
326	0.05839956853
327	0.05822713473
328	0.05792930571
329	0.05780180186
330	0.05763285223
331	0.05746975755
332	0.05735009543
333	0.05724537138
334	0.05688237948
335	0.05676444851
336	0.05664924169
337	0.05648929612
338	0.05629114374
339	0.0561656188
340	0.05596477691
341	0.0557582397
342	0.05544446969
343	0.05534601621
344	0.05518779324
345	0.05508279757
346	0.05491713407
347	0.05466229404
348	0.05455526914
349	0.0544521423
350	0.05412194698
351	0.05401457121
352	0.05382782153
353	0.05369899525
354	0.05337229509
355	0.05320315965
356	0.05306403145
357	0.05295485417
358	0.05284932809
359	0.05275516022
360	0.05264367409
361	0.05232104755
362	0.05218418451
363	0.05203783524
364	0.05193361062
365	0.0518212764
366	0.05166976995
367	0.05135034253
368	0.05120552166
369	0.05092846284
370	0.05079892554
371	0.05053743399
372	0.05042886844
373	0.05017589996
374	0.05005524729
375	0.04993640601
376	0.04981231246
377	0.04966980643
378	0.04956920263
379	0.04947351147
380	0.04937429067
381	0.04928058629
382	0.04915408369
383	0.04905845708
384	0.04894785865
385	0.04885766652
386	0.0487778259
387	0.0486699758
388	0.04840926847
389	0.04829897418
390	0.04820527541
391	0.048095361
392	0.04795459199
393	0.0478278093
394	0.04773709012
395	0.04764642703
396	0.04753744988
397	0.04739803743
398	0.04731619947
399	0.0472116311
400	0.04710144254
401	0.04701856424
402	0.04689801304
403	0.04667342016
404	0.04658411882
405	0.046485129
406	0.0462813202
407	0.04619075734
408	0.04609930577
409	0.04601832579
410	0.04584061079
411	0.0456933568
412	0.04561299295
413	0.04552860417
414	0.04540367756
415	0.04516230168
416	0.04494483481
417	0.04473358647
418	0.04461497547
419	0.0445483551
420	0.04446249732
421	0.04437363428
422	0.04430799502
423	0.04422365941
424	0.04414718858
425	0.0439573829
426	0.04383996417
427	0.0436689131
428	0.04359187666
429	0.04351126672
430	0.04340158748
431	0.04330832701
432	0.04322654986
433	0.04303928044
434	0.04295785829
435	0.04288576551
436	0.04281062196
437	0.04264100447
438	0.04255921053
439	0.04246896279
440	0.04237615114
441	0.04229152654
442	0.04223402646
443	0.04215592421
444	0.04208853513
445	0.04201721065
446	0.04190682206
447	0.04181186504
448	0.04171604064
449	0.04154549072
450	0.04148483908
451	0.04141045969
452	0.04134000125
453	0.04126748551
454	0.04120830221
455	0.04113926951
456	0.04106528032
457	0.04098793151
458	0.04091079299
459	0.04080943233
460	0.04070697901
461	0.04064157203
462	0.04053912761
463	0.04046252002
464	0.0403881876
465	0.04033454494
466	0.04025320245
467	0.04017033996
468	0.04003410847
469	0.03997114512
470	0.03991171052
471	0.03982064022
472	0.03976066271
473	0.03970552543
474	0.03962019306
475	0.03955862334
476	0.03947988117
477	0.03939117142
478	0.03929884053
479	0.03923559071
480	0.03914556174
481	0.03907861312
482	0.03898290873
483	0.03891275977
484	0.03883062327
485	0.03876458183
486	0.03869604852
487	0.0386403299
488	0.03856288528
489	0.03850088292
490	0.03844359979
491	0.03836793294
492	0.03832138847
493	0.03822917697
494	0.03815287669
495	0.03807524314
496	0.03799160695
497	0.03792915906
498	0.03788108784
