iter	Passed	Remaining
0	15	31355
1	31	31455
2	45	30419
3	59	29828
4	74	29693
5	88	29393
6	104	29872
7	121	30167
8	135	30051
9	150	29899
10	164	29683
11	179	29731
12	193	29505
13	206	29360
14	220	29228
15	237	29429
16	256	29933
17	271	29937
18	285	29802
19	299	29690
20	314	29665
21	329	29647
22	345	29668
23	359	29611
24	375	29631
25	389	29589
26	403	29474
27	416	29318
28	428	29146
29	441	28998
30	454	28869
31	467	28774
32	481	28670
33	493	28563
34	507	28477
35	519	28361
36	533	28292
37	545	28178
38	558	28103
39	571	27988
40	584	27924
41	597	27838
42	609	27738
43	621	27648
44	634	27565
45	647	27501
46	660	27435
47	672	27358
48	686	27330
49	699	27280
50	712	27247
51	726	27228
52	740	27210
53	753	27164
54	768	27182
55	782	27160
56	796	27139
57	808	27084
58	821	27033
59	836	27045
60	849	27000
61	864	27021
62	878	26997
63	893	27024
64	908	27033
65	920	26981
66	933	26942
67	946	26896
68	959	26843
69	971	26787
70	984	26742
71	996	26696
72	1011	26697
73	1024	26655
74	1037	26620
75	1050	26586
76	1063	26549
77	1076	26515
78	1088	26471
79	1100	26420
80	1113	26381
81	1127	26364
82	1139	26320
83	1153	26305
84	1167	26306
85	1181	26295
86	1194	26264
87	1207	26234
88	1221	26221
89	1233	26180
90	1246	26154
91	1259	26121
92	1272	26092
93	1285	26061
94	1298	26036
95	1312	26023
96	1325	26007
97	1341	26036
98	1355	26021
99	1368	26005
100	1383	26010
101	1398	26028
102	1412	26018
103	1426	26004
104	1440	25998
105	1455	25999
106	1468	25987
107	1482	25971
108	1496	25960
109	1509	25940
110	1522	25916
111	1537	25913
112	1551	25906
113	1565	25898
114	1578	25873
115	1591	25850
116	1606	25849
117	1622	25880
118	1636	25867
119	1649	25847
120	1662	25820
121	1677	25820
122	1692	25824
123	1706	25812
124	1719	25798
125	1733	25783
126	1746	25761
127	1759	25739
128	1772	25711
129	1785	25688
130	1801	25704
131	1817	25725
132	1831	25707
133	1844	25687
134	1860	25699
135	1874	25697
136	1897	25806
137	1915	25850
138	1930	25841
139	1944	25835
140	1961	25863
141	1976	25863
142	1991	25859
143	2006	25858
144	2021	25859
145	2034	25834
146	2048	25822
147	2063	25820
148	2078	25815
149	2092	25802
150	2106	25791
151	2119	25771
152	2133	25756
153	2148	25758
154	2162	25743
155	2175	25718
156	2188	25687
157	2202	25675
158	2215	25655
159	2229	25640
160	2242	25617
161	2255	25595
162	2268	25567
163	2281	25543
164	2295	25527
165	2309	25512
166	2322	25492
167	2335	25473
168	2350	25468
169	2366	25476
170	2380	25460
171	2393	25438
172	2407	25426
173	2422	25418
174	2438	25425
175	2451	25407
176	2466	25403
177	2479	25382
178	2493	25365
179	2506	25348
180	2519	25324
181	2534	25314
182	2547	25291
183	2560	25269
184	2573	25252
185	2588	25240
186	2603	25238
187	2617	25228
188	2633	25235
189	2648	25231
190	2663	25222
191	2678	25221
192	2691	25202
193	2705	25186
194	2720	25180
195	2733	25161
196	2748	25158
197	2761	25135
198	2775	25120
199	2791	25123
200	2805	25105
201	2820	25103
202	2833	25086
203	2847	25065
204	2860	25046
205	2873	25026
206	2887	25009
207	2904	25019
208	2917	24999
209	2932	24994
210	2946	24979
211	2959	24958
212	2973	24945
213	2988	24939
214	3001	24917
215	3014	24899
216	3029	24891
217	3044	24884
218	3058	24869
219	3073	24865
220	3087	24852
221	3100	24835
222	3114	24816
223	3129	24811
224	3143	24802
225	3157	24781
226	3171	24770
227	3185	24759
228	3201	24756
229	3215	24748
230	3230	24740
