transaction_id,year,month,quarter,country,iso3_code,region,platform,game_edition,sales_channel,units_sold,gross_revenue_usd,discount_percentage,new_customers,returning_customers,estimated_active_players,peak_concurrent_players,online_players,story_mode_players,gta_online_players,average_playtime_hours,average_session_length_minutes,holiday_season,major_sale_event,marketing_campaign,customer_rating,review_count,refund_rate_percentage,currency,exchange_rate_to_usd,internet_penetration_percentage,gaming_market_size,population_millions,gdp_per_capita_usd,release_phase,weekend_sales_percentage,weekday_sales_percentage,season,special_event,top_game_category,platform_generation
GTA5-104740,2017,10,4,Turkey,TUR,Europe,PC,Standard Edition,Digital,634,Lost,13.8,319,315,29998,1871,21726,8272,21726,14.8,43.3,0,None,0,4.43,12,2.46,TRY,27.0188,98,63.72,80.05,12437.36,Mature,48,52,Autumn,None,Action-Adventure,PC
GTA5-104964,2017,12,4,Oman,OMN,Asia,Xbox 360,Premium Edition,Physical,269,Lost,36.9,126,143,11326,807,7454,2659,8795,16.3,30.9,1,Christmas,1,4.46,7,5.23,OMR,0.3826,98,2.01,4.22,21247.68,Mature,43.9,56.1,Winter,Christmas,Action-Adventure,Gen7
GTA5-101955,2015,5,2,Greece,GRC,Europe,PS4,Standard Edition,Digital,408,10261.2,37.1,251,157,19335,1403,14357,4978,14357,16.3,48.9,0,Epic Mega Sale,1,4.73,8,3.57,EUR,0.8993,98,8.73,11.28,21981.89,Growth,56.8,43.2,Spring,Epic Mega Sale,Action-Adventure,Gen8
GTA5-102640,2015,12,4,Hong Kong,HKG,Asia,PS4,Legacy Edition,Physical,1342,Lost,48.1,751,591,40463,2681,22858,13270,26972,14.8,53.6,1,Christmas,1,4.51,28,5.45,HKD,7.8932,98,22.35,7.43,39166.98,Mature,38.4,61.6,Winter,Christmas,Action-Adventure,Gen8
GTA5-106579,2019,5,2,Israel,ISR,Asia,Xbox 360,Premium Edition,Digital,481,6075.03,36.8,204,277,24768,1754,15116,9652,15116,17.3,41.9,0,Epic Mega Sale,1,4.45,3,0.1,ILS,3.6715,98,19.54,8.68,39078.04,Mature,44.6,55.4,Spring,Epic Mega Sale,Action-Adventure,Gen7
GTA5-105637,2018,7,3,Russia,RUS,Europe,Xbox One,Premium Edition,Digital,867,Lost,31.3,377,490,63613,3647,32999,23799,38938,17.5,46.1,0,Steam Summer Sale,1,4.7,17,1.34,RUB,88.9933,98,248.23,152.93,16907.97,Mature,39.3,60.7,Summer,Steam Summer Sale,Action-Adventure,Gen8
GTA5-106577,2019,5,2,Jordan,JOR,Asia,PC,Legacy Edition,Digital,275,Lost,40.5,120,155,15307,924,10491,4816,10491,16.6,40,0,Epic Mega Sale,1,4.58,6,3.77,JOD,0.7171,98,0.7,6.97,5196.31,Mature,48,52,Spring,Epic Mega Sale,Action-Adventure,PC
GTA5-113372,2025,4,2,Pakistan,PAK,Asia,PS4,Standard Edition,Digital,288,Lost,9.5,74,214,16212,1228,11576,4636,11576,13.5,45.7,0,None,0,4.52,4,3.03,PKR,278.3272,98,16.06,208.1,2411.44,Legacy,46.3,53.7,Spring,None,Action-Adventure,Gen8
GTA5-111217,2023,5,2,United States,USA,North America,Xbox Series X|S,Premium Edition,Digital,4457,Lost,43.1,1585,2872,200645,13668,126436,74209,126436,17.4,50,0,Epic Mega Sale,1,4.67,79,0.97,USD,0.987,98,7167.78,353.82,63307.12,Growth,50.5,49.5,Spring,Epic Mega Sale,Action-Adventure,Gen9
GTA5-100750,2014,4,2,Ethiopia,ETH,Africa,Xbox 360,Legacy Edition,Physical,117,Lost,7.9,68,49,7007,514,4743,2264,4743,14.5,37.5,0,None,0,4.72,3,0.83,ETB,56.0931,65,0.82,97.32,654.79,Growth,39.3,60.7,Spring,None,Action-Adventure,Gen7
GTA5-114422,2026,3,1,Slovakia,SVK,Europe,PC,Standard Edition,Digital,663,4554.81,54.2,152,511,20342,1572,12829,7513,12829,17.9,45.2,0,PlayStation Sale,1,4.57,15,2.13,EUR,0.8983,98,3.8,6.24,23793.5,Legacy,42.5,57.5,Spring,PlayStation Sale,Action-Adventure,PC
GTA5-104714,2017,10,4,Peru,PER,South America,Xbox 360,Standard Edition,Digital,106,3178.94,0,54,52,5787,476,4143,1644,4143,12.5,42.9,0,None,0,4.44,3,0.1,PEN,3.6793,98,4.73,31.6,7794.21,Mature,54.5,45.5,Autumn,None,Action-Adventure,Gen7
GTA5-108694,2021,3,1,Belgium,BEL,Europe,Xbox One,Premium Edition,Digital,664,Lost,59.7,243,421,24242,2052,16600,7642,16600,16.4,48.7,0,PlayStation Sale,1,4.28,16,4.18,EUR,0.9009,98,36.64,12.03,50097.86,Legacy,54.2,45.8,Spring,PlayStation Sale,Action-Adventure,Gen8
GTA5-105092,2018,1,1,Ecuador,ECU,South America,PC,Standard Edition,Digital,199,3114.35,47.8,93,106,7008,511,5075,1933,5075,14.8,39.8,1,New Year Sale,1,4.51,3,2.54,USD,0.9982,98,1.1,16.9,6775.57,Mature,42.8,57.2,Winter,New Year Sale,Action-Adventure,PC
GTA5-102536,2015,11,4,Slovenia,SVN,Europe,Xbox One,Premium Edition,Physical,432,8553.6,50.5,255,177,12848,1124,8457,4391,8457,18.1,48.9,1,Black Friday,1,4.43,6,4.8,EUR,0.8979,98,1.53,2.17,24433.95,Mature,38.6,61.4,Autumn,Black Friday,Action-Adventure,Gen8
GTA5-106067,2018,12,4,Finland,FIN,Europe,PC,Standard Edition,Digital,882,Lost,70.8,384,498,33186,2709,19862,13324,19862,15.2,47.9,1,Christmas,1,4.57,20,2.66,EUR,0.8958,98,15.53,5.76,52675.61,Mature,49.3,50.7,Winter,Christmas,Action-Adventure,PC
GTA5-113774,2025,8,3,Iceland,ISL,Europe,Xbox One,Standard Edition,Digital,318,Lost,50.5,88,230,10226,702,7648,2578,7648,17.6,52.1,0,Rockstar Sale,1,4.55,3,4.36,ISK,138.568,98,0.43,0.38,59555.56,Legacy,47.1,52.9,Summer,Rockstar Sale,Action-Adventure,Gen8
GTA5-111282,2023,6,2,Jordan,JOR,Asia,PC,Standard Edition,Digital,378,Lost,33.6,115,263,14740,1306,8369,6371,8369,15.8,48.2,0,Steam Summer Sale,1,4.49,4,1.83,JOD,0.708,98,0.79,7.28,5626.3,Legacy,46.9,53.1,Summer,Steam Summer Sale,Action-Adventure,PC
GTA5-104284,2017,5,2,Jordan,JOR,Asia,PS4,Criminal Enterprise Starter Pack,Digital,203,Lost,47.8,111,92,10403,764,6486,3917,6486,16.8,52,0,Epic Mega Sale,1,4.55,3,0.91,JOD,0.7079,98,0.66,6.82,5022.34,Mature,44.4,55.6,Spring,Epic Mega Sale,Action-Adventure,Gen8
GTA5-106413,2019,3,1,Belgium,BEL,Europe,Xbox One,Standard Edition,Digital,946,10737.1,43.2,400,546,24437,1343,16864,7573,16864,17.5,33.7,0,PlayStation Sale,1,4.42,19,5.23,EUR,0.9096,98,34.47,11.77,48169.64,Mature,43,57,Spring,PlayStation Sale,Action-Adventure,Gen8
