lat,long,area,price,age,total_floors,floor_number,rooms,document_type,cooling_type,monthly_levy,has_master_bedroom,parking_type,neighbor_noise_level,distance_to_hospital_km,has_smart_home,water_pressure,exterior_style,fiber_internet,manager_present,window_type
35.64261899,51.41474933,201,20319,38,15,8,5,Private,nan,4824,0,Courtyard,Low,3,0,Normal,Mixed,1,1,Double-glazed
35.62212913,51.37572539,88,7541,20,11,9,2,Private,Split,3256,0,Doesn't have,High,2.9,0,Excellent,Roman,0,1,Double-glazed
35.78274252,51.36115847,84,30565,11,14,10,2,Private,Split,1680,0,Doesn't have,Average,9.6,0,Normal,Classic,1,1,Double-glazed
35.77856696,51.30191649,164,68219,0,13,6,4,Private,Split,3608,1,Roofed,High,4.7,0,Normal,Modern,0,1,Double-glazed
35.73798217,51.31787284,268,61493,20,12,11,7,Private,Split,4556,1,Doesn't have,High,0.9,0,Excellent,Roman,1,1,Double-glazed
35.70067254,51.38920107,177,47347,30,15,8,4,Foundation,nan,6903,1,Roofed,Low,0.9,0,Excellent,Modern,1,1,Double-glazed
35.65739545,51.3052153,252,57114,30,19,,4,Foundation,nan,6552,1,Underground,Average,5.2,0,Normal,Roman,0,1,Double-glazed
35.69715284,51.39228379,108,26172,42,9,6,1,Promissory Contract,nan,4104,0,Roofed,Low,4.3,0,Normal,Modern,0,1,Double-glazed
35.79692499,51.41963297,139,44751,0,4,3,3,Promissory Contract,Chiller,4309,1,Roofed,Low,8.8,1,Normal,Mixed,1,1,Triple-glazed
35.77004377,51.39892956,108,41324,0,6,3,3,Foundation,Chiller,4212,0,Roofed,Average,7.2,1,Excellent,Modern,1,1,Double-glazed
35.72153184,51.39119843,116,18009,32,19,13,3,Private,nan,2668,0,Roofed,Average,6.1,0,Poor,Mixed,0,1,Triple-glazed
35.83611177,51.3741177,105,39950,16,15,1,3,Private,Split,2310,0,Underground,High,7.4,0,Excellent,Classic,0,1,Double-glazed
35.72089779,51.44783381,108,26172,15,8,6,5,Private,Split,4212,0,Roofed,High,10.8,0,Normal,Modern,1,1,Double-glazed
35.76795585,51.43067645,102,30867,11,8,3,3,Private,Chiller,1938,0,Courtyard,High,3.1,0,Normal,Roman,0,1,Triple-glazed
35.67232558,51.46989453,163,81264,22,13,,4,,Chiller,2771,1,Doesn't have,High,11.2,0,Normal,Roman,1,1,Triple-glazed
35.68896866,51.46592358,132,63090,9,13,,3,,Split,4884,1,Courtyard,High,11,0,Normal,Mixed,1,1,Double-glazed
35.73049082,51.42742031,273,79638,38,17,3,4,Foundation,nan,4641,0,Roofed,High,2.2,0,Normal,Roman,1,1,Single-glazed
35.70728788,51.38794425,216,60127,7,6,,5,Promissory Contract,Split,7128,1,Roofed,Average,6.3,0,Normal,Roman,1,1,Double-glazed
35.71673808,51.41909108,125,31190,15,3,1,3,Private,Chiller,2500,0,Underground,High,2.7,0,Poor,Roman,1,0,Double-glazed
35.66107724,51.28539473,118,22978,30,14,8,3,Private,nan,4366,0,Roofed,High,2.6,0,Normal,Roman,1,1,Single-glazed
35.72165851,51.3387469,103,19519,23,10,10,3,Private,Water Cooler,1854,0,Underground,Low,1.7,0,Excellent,Roman,0,1,Double-glazed
35.75041659,51.39594529,121,18945,33,10,5,3,Private,nan,3751,1,Roofed,Low,9.5,0,Poor,Roman,1,1,Double-glazed
35.73743034,51.53948985,116,13507,28,14,5,3,Endowment,nan,2320,0,Courtyard,High,2.7,0,Normal,Classic,0,1,Single-glazed
35.73017045,51.33729518,154,31629,21,4,2,4,Private,Chiller,3696,1,Roofed,Low,8.9,0,Poor,Modern,0,1,Triple-glazed
35.73441894,51.36713228,236,42232,11,2,1,6,Private,Chiller,4720,1,Underground,High,7.4,0,Normal,Classic,1,0,Double-glazed
35.7796851,51.39778945,86,31440,17,5,4,2,Private,Chiller,1978,0,Roofed,Average,5,0,Normal,Mixed,0,1,Single-glazed
35.70062605,51.43156447,61,13186,30,14,2,2,Private,nan,,0,Roofed,High,11.1,0,Normal,Mixed,1,1,Double-glazed
35.84199738,51.35126223,258,117499,0,18,11,6,Private,Chiller,7740,0,Underground,Average,3.4,1,Normal,Roman,1,1,Double-glazed
35.62876116,51.28035456,166,34609,10,2,1,4,Private,Split,4482,1,Courtyard,High,2.9,0,Poor,Classic,1,0,Double-glazed
35.73569356,51.51560794,153,18830,26,11,4,4,Private,nan,5508,1,Doesn't have,Average,4.3,0,Normal,Roman,1,1,Double-glazed
35.68936098,51.51674125,169,84867,1,5,3,4,Private,Water Cooler,6084,1,Roofed,High,12,1,Normal,Classic,1,0,Double-glazed
35.65762542,51.37568499,108,9642,38,11,7,3,Endowment,nan,1620,0,Courtyard,High,5,0,Normal,Mixed,1,1,Double-glazed
35.68716495,51.28750665,104,19747,32,15,,3,Cooperative,nan,3848,0,Roofed,Average,6.9,0,Normal,Mixed,1,1,Double-glazed
35.61555648,51.46503836,94,41978,11,9,6,2,Private,Split,3666,0,Underground,High,8.9,0,Normal,Classic,1,1,Double-glazed
35.72975203,51.3338644,157,32370,16,17,12,4,Private,Split,3768,1,Underground,High,11.9,0,Excellent,Modern,0,1,Single-glazed
35.68156227,51.38904028,109,9749,49,10,5,3,,nan,3597,0,Doesn't have,High,2,0,Excellent,Mixed,1,1,Double-glazed
35.68027155,51.39817951,292,31807,34,4,4,7,,nan,9636,0,Roofed,Average,0.8,0,Normal,Classic,1,1,Single-glazed
35.93410926,51.37004143,96,35877,15,15,,2,Endowment,Chiller,1632,0,Underground,Low,8.4,0,Normal,Modern,0,1,Double-glazed
35.64070824,51.49087681,110,50693,17,4,4,5,Private,Water Cooler,3960,0,Roofed,Low,3.3,0,Normal,Modern,0,1,Double-glazed
35.70858439,51.42475727,270,78589,0,9,8,5,Private,Split,4590,0,Underground,High,4.6,1,Poor,Classic,0,1,Single-glazed
35.77119875,51.49813538,95,10629,29,10,4,2,Private,nan,2850,0,Doesn't have,High,8.6,0,Poor,Classic,1,1,Double-glazed
35.69823617,51.53228787,128,60803,5,3,1,3,Promissory Contract,Split,2048,1,Roofed,Average,2.9,0,Normal,Modern,1,0,Double-glazed
35.71290587,51.30457303,152,31137,31,2,2,4,Promissory Contract,nan,3040,1,Underground,Average,1.4,0,Normal,Modern,1,0,Single-glazed
