iter	RMSE
0	27977.60079
1	27759.41458
2	27525.35401
3	27285.82419
4	27040.65207
5	26816.87293
6	26590.18588
7	26364.69186
8	26160.59785
9	25925.90206
10	25643.24956
11	25423.7956
12	25238.40028
13	25054.36425
14	24879.95684
15	24689.52193
16	24461.93171
17	24246.92457
18	24046.9466
19	23840.80784
20	23674.34693
21	23472.43035
22	23299.20963
23	23119.37159
24	22949.74746
25	22762.51369
26	22596.303
27	22428.94308
28	22245.3513
29	22061.3542
30	21850.06805
31	21677.53641
32	21510.44797
33	21368.43538
34	21217.64715
35	21071.46965
36	20919.42668
37	20748.18197
38	20585.75315
39	20453.70888
40	20299.93156
41	20143.83691
42	19992.79093
43	19832.15056
44	19690.13844
45	19542.71394
46	19406.14745
47	19276.22262
48	19112.95334
49	18969.85888
50	18826.99822
51	18677.81981
52	18543.7837
53	18418.81777
54	18250.22649
55	18140.94563
56	18042.40336
57	17914.94372
58	17821.11867
59	17694.42086
60	17589.7269
61	17455.00048
62	17369.33938
63	17265.95989
64	17113.2605
65	17004.99272
66	16885.514
67	16777.00012
68	16656.44915
69	16554.65544
70	16436.57255
71	16337.09072
72	16237.74344
73	16146.17274
74	16036.43172
75	15952.40727
76	15856.91668
77	15759.90045
78	15673.34141
79	15583.49231
80	15496.91553
81	15387.91594
82	15312.98342
83	15229.54547
84	15149.32796
85	15043.41122
86	14943.06045
87	14873.56806
88	14776.62396
89	14677.8195
90	14591.4313
91	14498.06043
92	14430.9828
93	14375.8036
94	14265.63724
95	14187.62786
96	14095.96424
97	14021.086
98	13946.22968
99	13855.30428
100	13757.10991
101	13641.35813
102	13557.85079
103	13485.47926
104	13401.18998
105	13298.89853
106	13237.1474
107	13164.27578
108	13112.20443
109	13057.26989
110	13001.88587
111	12942.99269
112	12894.29435
113	12827.04037
114	12738.64784
115	12669.91915
116	12612.65982
117	12552.83362
118	12489.74016
119	12439.36226
120	12396.31768
121	12354.47657
122	12301.00856
123	12244.40689
124	12207.10537
125	12156.35837
126	12112.85231
127	12057.35004
128	12010.5022
129	11953.12663
130	11905.79913
131	11868.14205
132	11798.71201
133	11729.54729
134	11699.24215
135	11632.63272
136	11553.03723
137	11512.31575
138	11460.30845
139	11413.6299
140	11354.33607
141	11294.62158
142	11236.4367
143	11184.01772
144	11140.46144
145	11074.07054
146	11034.19711
147	11001.13397
148	10959.22276
149	10898.33883
150	10848.29834
151	10813.28477
152	10769.70345
153	10735.46515
154	10697.48315
155	10654.00785
156	10624.37644
157	10591.49251
158	10530.82805
159	10496.53857
160	10453.98669
161	10404.81938
162	10361.29276
163	10338.32598
164	10306.78353
165	10279.42775
166	10236.33111
167	10201.69102
168	10182.13389
169	10162.49462
170	10144.12653
171	10111.87433
172	10075.04485
173	10033.28281
174	10001.78736
175	9974.237191
176	9923.807282
177	9886.859836
178	9856.262094
179	9817.540448
180	9776.522976
181	9756.765109
182	9713.926655
183	9681.159697
184	9652.752427
185	9616.176291
186	9583.588084
187	9551.121003
188	9519.749553
189	9484.303099
190	9456.941956
191	9433.552223
192	9396.688619
193	9351.267947
194	9330.315657
195	9304.012751
196	9275.732395
197	9248.772098
198	9226.969998
199	9200.044839
200	9174.660602
201	9143.367066
202	9109.244227
203	9073.777948
204	9036.573138
205	9016.957761
206	8996.996483
207	8963.754432
208	8929.49436
209	8898.315683
210	8865.372507
211	8844.026193
212	8818.801546
213	8794.831921
214	8762.436382
215	8733.539244
216	8712.552077
217	8672.062692
218	8651.02169
219	8631.180144
220	8610.814168
221	8597.344873
222	8568.71799
223	8552.756934
224	8520.212788
225	8496.660644
226	8469.460262
227	8448.325719
228	8424.158579
229	8401.842341
230	8379.024511
231	8348.478712
232	8316.097149
233	8299.240262
234	8265.212459
235	8242.248122
236	8222.118553
237	8202.121644
238	8187.264373
239	8172.313058
240	8150.72151
241	8140.049807
242	8125.766986
243	8106.986164
244	8091.331006
245	8075.047799
246	8053.685366
247	8023.709959
248	8010.360884
249	7996.792582
250	7971.938447
251	7956.057862
252	7926.452495
253	7903.82185
254	7887.486448
255	7858.06298
256	7830.390252
257	7813.861306
258	7803.55888
259	7792.674387
260	7775.751021
261	7758.762238
262	7735.768185
263	7719.393202
264	7708.679426
265	7689.445323
266	7655.510585
267	7636.649393
268	7624.449936
269	7614.098471
270	7597.518469
271	7578.358684
272	7566.593629
273	7543.064946
274	7526.992666
275	7509.526403
276	7499.32882
277	7471.283183
278	7458.696477
279	7443.718478
280	7431.715906
281	7409.227352
282	7394.899408
283	7369.399787
284	7360.486287
285	7338.769148
286	7323.130408
287	7315.169286
288	7283.909694
289	7265.616888
290	7252.336912
291	7239.828311
292	7214.018309
293	7202.833766
294	7199.445168
295	7183.578104
296	7170.01082
297	7156.958527
298	7135.809862
299	7110.29044
300	7100.693589
301	7094.874435
302	7076.584931
303	7062.394749
304	7041.551654
305	7031.45157
306	7022.360439
307	7015.090144
308	6983.083046
309	6961.933175
310	6940.565814
311	6928.984949
312	6904.291296
313	6892.119308
314	6880.388575
315	6866.547642
316	6851.680721
317	6842.130024
318	6814.387328
319	6802.250305
320	6790.91753
321	6773.59238
322	6756.416457
323	6747.195307
324	6731.37483
325	6726.71577
326	6710.540358
327	6702.085446
328	6685.948762
329	6670.858537
330	6656.260156
331	6644.438895
332	6634.672559
333	6616.101994
334	6608.779782
335	6598.716188
336	6583.957195
337	6569.6845
338	6556.187368
339	6538.230338
340	6521.737064
341	6517.4548
342	6508.074065
343	6494.600916
344	6477.306665
345	6469.716586
346	6462.817539
347	6455.63894
348	6447.518153
349	6430.060498
350	6418.242658
351	6406.605439
352	6399.410211
353	6391.811668
354	6383.93238
355	6373.961063
356	6358.135265
357	6349.249841
358	6332.164414
359	6315.338839
360	6288.501605
361	6268.497836
362	6263.036475
363	6249.983367
364	6238.763164
365	6221.317761
366	6216.324254
367	6206.848995
368	6189.692076
369	6185.961096
370	6180.590672
371	6173.979004
372	6168.066952
373	6165.040598
374	6150.719951
375	6143.046021
376	6126.87674
377	6122.055805
378	6106.030621
379	6088.593621
380	6078.435694
381	6067.90301
382	6063.758007
383	6051.386029
384	6034.208986
385	6017.645554
386	6003.365676
387	5984.032063
388	5974.756239
389	5959.763861
390	5939.818432
391	5921.106783
392	5906.570235
393	5885.546282
394	5871.427411
395	5862.24361
396	5853.450057
397	5831.064876
398	5821.19647
399	5812.87586
400	5806.088581
401	5793.125267
402	5785.16548
403	5770.514379
404	5766.045187
405	5755.702408
406	5751.378825
407	5734.121527
408	5728.295485
409	5723.035843
410	5703.767911
411	5696.305232
412	5690.80111
413	5688.391497
414	5679.230891
415	5668.934731
416	5660.375095
417	5651.136419
418	5641.360103
419	5628.263246
420	5615.487489
421	5608.696865
422	5596.863603
423	5580.455608
424	5570.838591
425	5561.765453
426	5553.350728
427	5539.565688
428	5523.60587
429	5512.119226
430	5494.933708
431	5484.591485
432	5467.856483
433	5453.075292
434	5447.935273
435	5440.44613
436	5421.150646
437	5411.310882
438	5402.294947
439	5390.264392
440	5370.923148
441	5358.890631
442	5345.795029
443	5332.491449
444	5313.758578
445	5303.056576
446	5293.439584
447	5277.35078
448	5273.841286
449	5268.951287
450	5252.462735
451	5241.153286
452	5231.566173
453	5220.022197
454	5215.087068
455	5204.170279
456	5197.432465
457	5190.917444
458	5183.023931
459	5180.266235
460	5163.411661
461	5160.413588
462	5145.431277
463	5136.491696
464	5122.178409
465	5109.053424
466	5099.00838
467	5089.976328
468	5087.503447
469	5079.224125
470	5068.452442
471	5060.046484
472	5045.216898
473	5034.674781
474	5028.955848
475	5014.108057
476	5010.00521
477	4995.531077
478	4989.135396
479	4979.128506
480	4967.237971
481	4964.588926
482	4955.679364
483	4948.749541
484	4938.496469
485	4936.056774
486	4929.264114
487	4914.92679
488	4909.676045
489	4899.043132
490	4887.036784
491	4877.853426
492	4863.814335
493	4856.942562
494	4851.049625
495	4839.948763
496	4836.281943
497	4831.01918
498	4819.733951
499	4807.777129
500	4796.342669
501	4792.040528
502	4783.680381
503	4775.618883
504	4770.53446
505	4756.970571
506	4744.526488
507	4734.800702
508	4726.345106
509	4720.628347
510	4717.562631
511	4710.753332
512	4705.248821
513	4700.645892
514	4696.638434
515	4689.20451
516	4683.976898
517	4671.8133
518	4669.534619
519	4662.682985
520	4648.916863
521	4637.143527
522	4626.444305
523	4617.804554
524	4609.114642
525	4606.912598
526	4600.020411
527	4587.950437
528	4574.813095
529	4572.022544
530	4563.390639
531	4556.659706
532	4548.910486
533	4540.711637
534	4532.060386
535	4529.486645
536	4515.887923
537	4508.446428
538	4501.623725
539	4492.380771
540	4490.232414
541	4488.07245
542	4481.166471
543	4468.585059
544	4460.786685
545	4451.887327
546	4442.722193
547	4428.821562
548	4416.030673
549	4411.773174
550	4405.991772
551	4404.122989
552	4401.418414
553	4393.62065
554	4387.762215
555	4382.541617
556	4377.61908
557	4363.513801
558	4359.542324
559	4351.171017
560	4344.467235
561	4330.430282
562	4321.786534
563	4315.378667
564	4301.056595
565	4298.489322
566	4291.007245
567	4284.328863
568	4282.159419
569	4277.925282
570	4271.349436
571	4265.64824
572	4258.746337
573	4251.251874
574	4244.156867
575	4237.359933
576	4224.925738
577	4217.65884
578	4212.038923
579	4208.020398
580	4204.347949
581	4198.318909
582	4191.978245
583	4190.415728
584	4180.618116
