iter	Passed	Remaining
0	20	61929
1	35	53482
2	52	52752
3	72	54177
4	86	51812
5	101	50872
6	120	51570
7	136	51117
8	154	51342
9	172	51475
10	187	50925
11	203	50623
12	221	50815
13	236	50366
14	253	50420
15	268	50013
16	285	50153
17	302	50113
18	319	50156
19	336	50204
20	353	50155
21	369	50005
22	386	49966
23	403	50009
24	420	49992
25	437	49992
26	455	50203
27	474	50354
28	491	50371
29	508	50386
30	526	50457
31	545	50622
32	564	50727
33	585	51107
34	602	51019
35	620	51108
36	636	50967
37	652	50847
38	670	50883
39	689	50989
40	705	50936
41	721	50822
42	738	50775
43	755	50781
44	774	50869
45	790	50777
46	807	50750
47	826	50810
48	845	50922
49	863	50950
50	879	50852
51	896	50802
52	911	50680
53	927	50576
54	948	50809
55	965	50772
56	983	50762
57	1000	50769
58	1018	50756
59	1036	50808
60	1053	50744
61	1071	50777
62	1093	50955
63	1110	50940
64	1128	50943
65	1144	50899
66	1163	50943
67	1182	50990
68	1200	51010
69	1220	51071
70	1239	51131
71	1258	51171
72	1274	51117
73	1292	51117
74	1311	51142
75	1320	50791
76	1338	50801
77	1356	50816
78	1373	50777
79	1391	50795
80	1408	50754
81	1425	50739
82	1445	50807
83	1462	50761
84	1478	50706
85	1496	50717
86	1512	50635
87	1529	50609
88	1548	50661
89	1564	50574
90	1582	50572
91	1598	50540
92	1616	50543
93	1634	50531
94	1652	50520
95	1668	50476
96	1685	50430
97	1703	50438
98	1719	50377
99	1734	50293
100	1749	50213
101	1765	50170
102	1786	50239
103	1805	50282
104	1826	50372
105	1847	50428
106	1866	50452
107	1886	50518
108	1903	50487
109	1919	50434
110	1938	50451
111	1956	50445
112	1973	50417
113	1991	50404
114	2009	50405
115	2026	50373
116	2045	50395
117	2062	50370
118	2076	50274
119	2093	50248
120	2113	50280
121	2131	50288
122	2150	50299
123	2167	50267
124	2185	50268
125	2204	50272
126	2223	50310
127	2245	50387
128	2268	50494
129	2291	50579
130	2315	50709
131	2337	50793
132	2357	50816
133	2377	50839
134	2395	50846
135	2415	50875
136	2432	50838
137	2451	50851
138	2470	50848
139	2490	50870
140	2514	50984
141	2540	51131
142	2572	51391
143	2598	51530
144	2627	51737
145	2645	51720
146	2662	51666
147	2680	51646
